n,comparisons,time_ns

10000,11,263
20000,11,180
30000,11,250
40000,11,197
50000,12,324
60000,11,201
70000,12,210
80000,12,220
90000,12,209
100000,12,236
110000,12,249
120000,12,291
130000,12,239
140000,12,295
150000,12,269
160000,12,250
170000,12,322
180000,12,331
190000,12,273
200000,12,263
210000,12,356
220000,12,341
230000,12,317
240000,12,359
250000,12,414
260000,12,354
270000,12,282
280000,12,349
290000,12,308
300000,12,350
310000,12,307
320000,12,328
330000,12,308
340000,12,338
350000,12,314
360000,12,345
370000,12,329
380000,12,344
390000,12,317
400000,12,329
410000,12,330
420000,12,376
430000,12,337
440000,12,354
450000,12,351
460000,12,374
470000,12,335
480000,12,310
490000,12,332
500000,12,391
510000,12,480
520000,12,296
530000,12,351
540000,12,388
550000,12,372
560000,12,409
570000,12,333
580000,12,314
590000,12,371
600000,12,455
610000,12,341
620000,12,345
630000,12,421
640000,12,420
650000,12,335
660000,12,397
670000,12,501
680000,12,360
690000,12,307
700000,12,477
710000,12,369
720000,12,496
730000,12,453
740000,12,345
750000,12,422
760000,12,336
770000,12,432
780000,12,368
790000,12,535
800000,12,415
810000,12,470
820000,12,365
830000,12,464
840000,12,443
850000,12,408
860000,12,474
870000,12,564
880000,12,555
890000,12,478
900000,12,348
910000,12,331
920000,12,351
930000,12,553
940000,12,433
950000,12,475
960000,12,430
970000,12,531
980000,12,439
990000,12,386
1000000,12,370
1010000,12,528
1020000,12,381
1030000,12,499
1040000,12,407
1050000,12,577
1060000,12,386
1070000,12,436
1080000,12,437
1090000,12,359
1100000,12,414
1110000,12,1796
1120000,12,390
1130000,12,399
1140000,12,362
1150000,12,415
1160000,12,431
1170000,12,410
1180000,12,420
1190000,12,390
1200000,12,483
1210000,12,490
1220000,12,357
1230000,12,420
1240000,12,509
1250000,12,469
1260000,12,412
1270000,13,489
1280000,12,405
1290000,12,440
1300000,12,553
1310000,12,526
1320000,12,631
1330000,12,809
1340000,12,615
1350000,12,611
1360000,12,568
1370000,12,502
1380000,12,450
1390000,12,619
1400000,12,480
1410000,12,495
1420000,12,430
1430000,12,399
1440000,12,477
1450000,12,467
1460000,12,613
1470000,12,489
1480000,12,462
1490000,12,476
1500000,12,510
1510000,12,416
1520000,12,715
1530000,12,442
1540000,12,459
1550000,12,444
1560000,12,468
1570000,12,405
1580000,12,555
1590000,12,400
1600000,12,422
1610000,13,400
1620000,12,381
1630000,12,429
1640000,12,620
1650000,12,487
1660000,13,424
1670000,12,398
1680000,12,444
1690000,12,574
1700000,12,446
1710000,12,375
1720000,12,463
1730000,12,391
1740000,12,637
1750000,12,483
1760000,12,484
1770000,12,454
1780000,12,449
1790000,12,377
1800000,12,445
1810000,12,518
1820000,13,440
1830000,12,397
1840000,12,473
1850000,12,484
1860000,12,431
1870000,12,491
1880000,12,515
1890000,12,561
1900000,12,445
1910000,12,517
1920000,12,520
1930000,13,491
1940000,12,389
1950000,12,540
1960000,12,431
1970000,12,530
1980000,13,453
1990000,13,583
2000000,12,412
2010000,12,622
2020000,12,499
2030000,12,520
2040000,12,458
2050000,12,459
2060000,12,438
2070000,12,666
2080000,12,469
2090000,12,428
2100000,12,538
2110000,12,501
2120000,12,428
2130000,12,457
2140000,12,517
2150000,12,485
2160000,12,583
2170000,12,473
2180000,12,517
2190000,12,476
2200000,12,433
2210000,13,453
2220000,12,435
2230000,12,415
2240000,12,645
2250000,13,512
2260000,12,498
2270000,12,529
2280000,12,482
2290000,13,608
2300000,12,671
2310000,13,411
2320000,13,449
2330000,12,628
2340000,12,543
2350000,13,409
2360000,12,492
2370000,12,824
2380000,13,491
2390000,13,681
2400000,13,419
2410000,12,514
2420000,12,468
2430000,12,563
2440000,12,511
2450000,12,545
2460000,12,666
2470000,13,412
2480000,12,522
2490000,13,469
2500000,12,511
2510000,12,419
2520000,12,430
2530000,13,448
2540000,12,415
2550000,12,401
2560000,12,505
2570000,12,477
2580000,12,580
2590000,12,430
2600000,12,1773
2610000,12,470
2620000,12,487
2630000,13,472
2640000,13,428
2650000,12,473
2660000,13,818
2670000,13,630
2680000,12,463
2690000,12,413
2700000,12,414
2710000,13,549
2720000,12,549
2730000,12,461
2740000,13,406
2750000,12,501
2760000,13,415
2770000,12,425
2780000,12,547
2790000,12,632
2800000,13,526
2810000,13,470
2820000,12,509
2830000,13,535
2840000,12,582
2850000,12,603
2860000,12,524
2870000,13,425
2880000,12,402
2890000,12,532
2900000,12,410
2910000,12,472
2920000,13,549
2930000,13,504
2940000,13,481
2950000,12,465
2960000,12,448
2970000,12,436
2980000,12,446
2990000,12,512
3000000,13,526
3010000,12,756
3020000,12,653
3030000,13,510
3040000,12,653
3050000,13,559
3060000,13,419
3070000,12,410
3080000,12,471
3090000,12,409
3100000,13,531
3110000,12,503
3120000,12,415
3130000,12,431
3140000,12,473
3150000,13,474
3160000,12,495
3170000,12,470
3180000,13,444
3190000,12,423
3200000,13,602
3210000,13,498
3220000,13,487
3230000,13,434
3240000,13,553
3250000,13,436
3260000,13,469
3270000,12,495
3280000,12,459
3290000,13,492
3300000,13,825
3310000,13,578
3320000,13,422
3330000,12,425
3340000,13,439
3350000,12,572
3360000,12,606
3370000,13,427
3380000,13,424
3390000,12,652
3400000,13,466
3410000,12,548
3420000,13,460
3430000,13,487
3440000,12,423
3450000,13,543
3460000,13,464
3470000,12,484
3480000,13,426
3490000,12,654
3500000,13,447
3510000,12,425
3520000,13,488
3530000,13,623
3540000,13,712
3550000,12,521
3560000,13,658
3570000,13,426
3580000,12,731
3590000,13,582
3600000,12,719
3610000,12,563
3620000,13,439
3630000,13,469
3640000,13,465
3650000,13,649
3660000,13,429
3670000,13,738
3680000,13,586
3690000,13,506
3700000,13,776
3710000,12,423
3720000,13,445
3730000,12,487
3740000,12,624
3750000,13,649
3760000,12,616
3770000,13,428
3780000,13,530
3790000,13,422
3800000,13,573
3810000,12,420
3820000,13,525
3830000,13,614
3840000,13,515
3850000,13,641
3860000,12,460
3870000,13,552
3880000,13,606
3890000,13,558
3900000,12,630
3910000,13,573
3920000,13,446
3930000,13,573
3940000,12,636
3950000,12,559
3960000,13,450
3970000,13,436
3980000,13,577
3990000,13,546
4000000,13,562
4010000,13,564
4020000,13,442
4030000,13,568
4040000,13,496
4050000,12,561
4060000,13,604
4070000,13,426
4080000,13,570
4090000,13,579
4100000,13,489
4110000,12,446
4120000,12,532
4130000,13,746
4140000,13,472
4150000,13,503
4160000,13,461
4170000,12,571
4180000,13,649
4190000,13,447
4200000,13,434
4210000,13,583
4220000,13,447
4230000,13,507
4240000,13,611
4250000,13,448
4260000,12,468
4270000,13,552
4280000,13,443
4290000,13,458
4300000,13,506
4310000,13,434
4320000,13,957
4330000,13,698
4340000,13,591
4350000,13,557
4360000,12,441
4370000,13,439
4380000,13,576
4390000,13,746
4400000,13,501
4410000,12,432
4420000,13,477
4430000,13,467
4440000,12,587
4450000,13,524
4460000,12,483
4470000,13,484
4480000,12,496
4490000,13,530
4500000,13,428
4510000,13,591
4520000,13,576
4530000,13,525
4540000,13,446
4550000,13,459
4560000,13,518
4570000,13,523
4580000,13,641
4590000,13,453
4600000,13,472
4610000,13,502
4620000,13,701
4630000,12,512
4640000,13,455
4650000,13,464
4660000,13,432
4670000,13,643
4680000,13,694
4690000,13,531
4700000,13,550
4710000,13,490
4720000,13,522
4730000,12,730
4740000,13,452
4750000,12,453
4760000,13,653
4770000,13,661
4780000,13,491
4790000,13,441
4800000,13,548
4810000,12,576
4820000,13,1003
4830000,12,427
4840000,13,734
4850000,13,459
4860000,13,437
4870000,13,442
4880000,13,522
4890000,13,494
4900000,13,550
4910000,13,495
4920000,13,471
4930000,12,528
4940000,13,452
4950000,13,769
4960000,12,474
4970000,13,601
4980000,13,433
4990000,13,693
5000000,13,500
5010000,13,510
5020000,13,444
5030000,13,604
5040000,13,548
5050000,13,463
5060000,13,911
5070000,13,452
5080000,12,567
5090000,13,462
5100000,13,458
5110000,13,508
5120000,13,441
5130000,12,448
5140000,13,548
5150000,13,461
5160000,13,603
5170000,13,676
5180000,13,639
5190000,13,483
5200000,13,532
5210000,13,724
5220000,13,514
5230000,12,483
5240000,13,475
5250000,13,680
5260000,13,733
5270000,13,515
5280000,13,521
5290000,13,647
5300000,13,565
5310000,13,470
5320000,13,488
5330000,12,463
5340000,13,550
5350000,13,486
5360000,13,464
5370000,13,638
5380000,13,486
5390000,13,460
5400000,13,489
5410000,13,581
5420000,12,439
5430000,13,546
5440000,13,459
5450000,13,547
5460000,13,480
5470000,13,471
5480000,13,569
5490000,13,459
5500000,13,642
5510000,13,584
5520000,13,685
5530000,13,787
5540000,13,498
5550000,12,448
5560000,12,562
5570000,13,629
5580000,13,631
5590000,13,579
5600000,13,529
5610000,13,537
5620000,13,574
5630000,13,683
5640000,13,559
5650000,13,470
5660000,13,478
5670000,13,479
5680000,13,625
5690000,13,482
5700000,13,475
5710000,13,562
5720000,13,470
5730000,13,649
5740000,13,521
5750000,13,457
5760000,12,507
5770000,13,459
5780000,13,476
5790000,12,505
5800000,13,455
5810000,13,454
5820000,13,585
5830000,13,751
5840000,13,447
5850000,13,745
5860000,13,642
5870000,13,628
5880000,13,716
5890000,13,452
5900000,13,539
5910000,13,545
5920000,13,564
5930000,12,473
5940000,13,619
5950000,13,562
5960000,13,485
5970000,13,490
5980000,13,537
5990000,13,534
6000000,13,809
6010000,13,475
6020000,13,640
6030000,13,513
6040000,13,547
6050000,12,688
6060000,13,520
6070000,13,498
6080000,13,546
6090000,12,502
6100000,13,584
6110000,12,548
6120000,13,562
6130000,13,520
6140000,13,578
6150000,13,543
6160000,13,604
6170000,13,788
6180000,13,551
6190000,13,468
6200000,13,597
6210000,13,454
6220000,13,514
6230000,13,456
6240000,13,466
6250000,13,476
6260000,13,504
6270000,13,661
6280000,13,816
6290000,13,881
6300000,13,781
6310000,13,786
6320000,13,791
6330000,12,744
6340000,13,813
6350000,13,527
6360000,13,503
6370000,13,683
6380000,13,516
6390000,13,821
6400000,13,1315
6410000,13,631
6420000,12,743
6430000,13,768
6440000,13,897
6450000,13,1024
6460000,13,1061
6470000,13,855
6480000,13,785
6490000,13,1017
6500000,13,916
6510000,13,802
6520000,13,802
6530000,13,820
6540000,13,825
6550000,13,794
6560000,13,819
6570000,13,837
6580000,13,493
6590000,13,518
6600000,13,559
6610000,13,723
6620000,13,660
6630000,13,509
6640000,13,552
6650000,13,601
6660000,13,566
6670000,13,918
6680000,13,1095
6690000,13,1714
6700000,13,527
6710000,13,709
6720000,13,458
6730000,13,574
6740000,13,658
6750000,13,492
6760000,13,571
6770000,13,573
6780000,13,634
6790000,12,649
6800000,12,623
6810000,13,1058
6820000,13,495
6830000,12,538
6840000,13,573
6850000,13,581
6860000,13,853
6870000,13,676
6880000,13,708
6890000,13,695
6900000,13,557
6910000,13,592
6920000,13,453
6930000,12,1743
6940000,13,558
6950000,13,624
6960000,13,552
6970000,13,599
6980000,13,777
6990000,13,861
7000000,13,526
