n,comparisons,time_ns

10000,12,196
20000,13,251
30000,13,465
40000,14,349
50000,14,443
60000,14,411
70000,15,502
80000,15,642
90000,15,627
100000,15,548
110000,15,650
120000,15,739
130000,15,731
140000,16,1164
150000,16,669
160000,16,998
170000,16,954
180000,16,972
190000,16,1066
200000,16,871
210000,16,1149
220000,16,880
230000,16,994
240000,16,1085
250000,16,986
260000,17,1078
270000,17,878
280000,17,1213
290000,17,1185
300000,17,1082
310000,17,1077
320000,17,1057
330000,17,1581
340000,17,1300
350000,17,1137
360000,17,1000
370000,17,1381
380000,17,1135
390000,17,1435
400000,17,1049
410000,17,985
420000,17,1397
430000,17,1691
440000,17,1285
450000,17,1320
460000,17,1310
470000,17,1154
480000,17,1100
490000,17,1098
500000,17,1130
510000,17,1251
520000,17,1189
530000,18,1133
540000,18,1178
550000,18,1416
560000,18,1375
570000,18,1462
580000,18,1350
590000,18,1443
600000,18,1427
610000,18,1518
620000,18,1334
630000,18,1595
640000,18,2059
650000,18,1272
660000,18,1397
670000,18,1417
680000,18,1458
690000,18,1301
700000,18,1424
710000,18,1352
720000,18,1626
730000,18,1460
740000,18,1300
750000,18,1423
760000,18,1388
770000,18,2325
780000,18,1369
790000,18,1551
800000,18,1594
810000,18,1837
820000,18,1515
830000,18,1348
840000,18,1478
850000,18,1398
860000,18,1537
870000,18,1463
880000,18,1797
890000,18,1506
900000,18,1682
910000,18,1502
920000,18,1383
930000,18,1564
940000,18,1648
950000,18,2088
960000,18,1436
970000,18,1489
980000,18,1462
990000,18,1401
1000000,18,1863
1010000,18,1764
1020000,19,1551
1030000,18,1480
1040000,19,1622
1050000,18,1644
1060000,18,1669
1070000,18,1590
1080000,19,1606
1090000,19,1490
1100000,19,1537
1110000,19,1729
1120000,19,1548
1130000,19,1685
1140000,19,1605
1150000,19,1555
1160000,19,1919
1170000,19,1677
1180000,19,1814
1190000,19,1491
1200000,19,1646
1210000,19,1862
1220000,19,1658
1230000,19,1720
1240000,19,1822
1250000,19,1748
1260000,19,1567
1270000,19,1560
1280000,19,1736
1290000,19,1702
1300000,19,1734
1310000,19,2479
1320000,19,1960
1330000,19,2104
1340000,19,1918
1350000,19,1776
1360000,19,1909
1370000,19,1874
1380000,19,1813
1390000,19,2463
1400000,19,2064
1410000,19,1858
1420000,19,1888
1430000,19,1664
1440000,19,1730
1450000,19,1671
1460000,19,1907
1470000,19,1698
1480000,19,1812
1490000,19,1880
1500000,19,1742
1510000,19,1803
1520000,19,2589
1530000,19,1736
1540000,19,1989
1550000,19,1583
1560000,19,1818
1570000,19,1659
