n,comparisons,time_ns

10000,12,222
20000,13,265
30000,13,576
40000,14,386
50000,14,493
60000,14,509
70000,15,462
80000,15,478
90000,15,502
100000,15,486
110000,15,669
120000,15,787
130000,16,658
140000,16,733
150000,16,888
160000,16,698
170000,16,1015
180000,16,1352
190000,16,888
200000,16,836
210000,16,1082
220000,16,985
230000,16,1197
240000,16,1119
250000,16,973
260000,16,1039
270000,16,866
280000,17,2101
290000,17,1257
300000,17,2458
310000,17,1038
320000,17,1014
330000,17,1119
340000,17,1223
350000,17,1107
360000,17,1144
370000,17,1296
380000,17,1238
390000,17,1054
400000,17,1512
410000,17,1107
420000,17,1259
430000,17,1813
440000,17,1531
450000,17,1365
460000,17,1252
470000,17,1179
480000,17,1120
490000,18,1164
500000,17,1191
510000,17,1151
520000,18,1215
530000,18,1171
540000,18,1476
550000,18,1335
560000,18,1333
570000,18,1185
580000,18,1324
590000,18,1329
600000,18,1683
610000,18,1217
620000,18,1400
630000,18,1485
640000,18,1388
650000,18,1236
660000,18,1530
670000,18,1366
680000,18,1482
690000,18,1319
700000,18,1379
710000,18,1338
720000,18,1428
730000,18,1668
740000,18,1316
750000,18,1605
760000,18,1352
770000,18,2042
780000,18,1297
790000,18,1502
800000,18,1563
810000,18,1575
820000,18,1347
830000,18,1337
840000,18,1406
850000,18,1635
860000,18,1433
870000,18,1465
880000,18,1513
890000,18,1439
900000,18,1373
910000,18,1341
920000,18,1331
930000,18,1596
940000,18,1604
950000,18,1672
960000,18,2561
970000,18,1460
980000,18,1399
990000,18,1414
1000000,19,1524
1010000,18,1745
1020000,18,2250
1030000,19,1392
1040000,19,1568
1050000,18,1661
1060000,19,1532
1070000,19,1547
1080000,19,1837
1090000,19,1914
1100000,19,1836
1110000,19,1713
1120000,19,1904
1130000,19,1774
1140000,19,1939
1150000,19,1618
1160000,19,1812
1170000,19,1475
1180000,19,1738
1190000,19,1573
1200000,19,1592
1210000,19,1551
1220000,19,1857
1230000,19,1702
1240000,19,1612
1250000,19,2051
1260000,19,1536
1270000,19,1638
1280000,19,1680
1290000,19,1605
1300000,19,1681
1310000,19,1738
1320000,19,2061
1330000,19,2037
1340000,19,2589
1350000,19,1880
1360000,19,2225
1370000,19,1794
1380000,19,2092
1390000,19,1927
1400000,19,2233
1410000,19,1715
1420000,19,1959
1430000,19,1891
1440000,19,1975
1450000,19,1990
1460000,19,1725
1470000,19,1768
1480000,19,1743
1490000,19,1765
1500000,19,1819
1510000,19,1674
1520000,19,1840
1530000,19,1618
1540000,19,1949
1550000,19,1674
1560000,19,1843
1570000,19,1676
1580000,19,1982
1590000,19,1668
1600000,19,1684
1610000,19,1816
1620000,19,1862
1630000,19,1735
1640000,19,2001
1650000,19,1758
1660000,19,1809
1670000,19,2062
1680000,19,1929
1690000,19,1843
1700000,19,2400
1710000,19,1812
1720000,19,1649
1730000,19,1916
1740000,19,2050
1750000,19,1690
1760000,19,1738
1770000,19,1999
1780000,19,1735
1790000,19,1647
1800000,19,1714
1810000,19,1720
1820000,19,1770
1830000,19,1739
1840000,19,1894
1850000,19,1765
1860000,19,1675
1870000,19,2044
1880000,19,1812
1890000,19,2080
1900000,19,2110
1910000,19,2083
1920000,19,1918
1930000,19,1909
1940000,19,1838
1950000,19,1953
1960000,19,1957
1970000,19,1920
1980000,19,1856
1990000,19,1901
2000000,19,1718
2010000,19,1989
2020000,19,1733
2030000,19,1881
2040000,20,2037
2050000,19,1931
2060000,19,1797
2070000,19,2069
2080000,20,1716
2090000,20,1801
2100000,19,1827
2110000,19,1952
2120000,20,1839
2130000,20,1914
2140000,20,1789
2150000,20,1944
2160000,20,1852
2170000,20,2042
2180000,20,2100
2190000,20,1957
2200000,20,1821
2210000,20,1842
2220000,20,1953
2230000,20,2153
2240000,20,2345
2250000,20,1876
2260000,20,1967
2270000,20,1931
2280000,20,1901
2290000,20,1996
2300000,20,1904
2310000,20,1921
2320000,20,1789
2330000,20,2041
2340000,20,2263
2350000,20,1835
2360000,20,1967
2370000,20,1918
2380000,20,2119
2390000,20,2037
2400000,20,1873
2410000,20,2137
2420000,20,1852
2430000,20,1917
2440000,20,1948
2450000,20,2065
2460000,20,2487
2470000,20,1817
2480000,20,2013
2490000,20,2081
2500000,20,1932
2510000,20,2047
2520000,20,3657
2530000,20,2000
2540000,20,1793
2550000,20,1969
2560000,20,2064
2570000,20,1920
2580000,20,2064
2590000,20,2153
2600000,20,2054
2610000,20,2219
2620000,20,1900
2630000,20,1875
2640000,20,1893
2650000,20,1932
2660000,20,2033
2670000,20,2021
2680000,20,2008
2690000,20,1837
2700000,20,2048
2710000,20,2111
2720000,20,2097
2730000,20,2213
2740000,20,1969
2750000,20,1904
2760000,20,2078
2770000,20,1892
2780000,20,2025
2790000,20,2121
2800000,20,1971
2810000,20,2054
2820000,20,1927
2830000,20,2027
2840000,20,2183
2850000,20,1975
2860000,20,2133
2870000,20,2145
2880000,20,2456
2890000,20,2126
2900000,20,2407
2910000,20,2031
2920000,20,2592
2930000,20,2131
2940000,20,2017
2950000,20,1954
2960000,20,1987
2970000,20,2087
2980000,20,1901
2990000,20,2252
3000000,20,2117
3010000,20,2549
3020000,20,2230
3030000,20,1997
3040000,20,2104
3050000,20,1984
3060000,20,1948
3070000,20,2251
3080000,20,2334
3090000,20,2056
3100000,20,2483
3110000,20,2015
3120000,20,2309
3130000,20,2154
3140000,20,1943
3150000,20,1971
3160000,20,2220
3170000,20,1998
3180000,20,2001
3190000,20,2067
3200000,20,2477
3210000,20,1929
3220000,20,1982
3230000,20,2131
3240000,20,1939
3250000,20,2057
3260000,20,3047
3270000,20,2224
3280000,20,2264
3290000,20,1960
3300000,20,2357
3310000,20,2075
3320000,20,1985
3330000,20,2114
3340000,20,1980
3350000,20,2278
3360000,20,2123
3370000,20,2082
3380000,20,1954
3390000,20,2026
3400000,20,2130
3410000,20,2026
3420000,20,2016
3430000,20,2203
3440000,20,2037
3450000,20,2076
3460000,20,2008
3470000,20,2070
3480000,20,2162
3490000,20,2315
3500000,20,2581
3510000,20,2139
3520000,20,2130
3530000,20,2287
3540000,20,2230
3550000,20,2198
3560000,20,2095
3570000,20,2160
3580000,20,2662
3590000,20,2325
3600000,20,2514
3610000,20,2499
3620000,20,2126
3630000,20,2052
3640000,20,2093
3650000,20,2487
3660000,20,2140
3670000,20,2075
3680000,20,2177
3690000,20,2421
3700000,20,2389
3710000,20,2251
3720000,20,2316
3730000,20,2062
3740000,20,2066
3750000,20,2366
3760000,20,2753
3770000,20,2087
3780000,20,2083
3790000,20,2404
3800000,20,2103
3810000,20,2096
3820000,20,2137
3830000,20,2380
3840000,20,2090
3850000,20,2397
3860000,20,2061
3870000,20,2653
3880000,20,2051
3890000,20,2199
3900000,20,2441
3910000,20,2344
3920000,20,2050
3930000,20,2205
3940000,20,2463
3950000,20,2438
3960000,20,2109
3970000,20,2068
3980000,20,2203
3990000,20,2241
4000000,20,2113
4010000,20,2228
4020000,20,2100
4030000,20,2406
4040000,20,2477
4050000,20,2107
4060000,20,2228
4070000,21,2173
4080000,20,2266
4090000,21,2169
4100000,20,2144
4110000,20,2165
4120000,20,2911
4130000,20,2302
4140000,21,2819
4150000,21,2123
4160000,20,2151
4170000,20,2132
4180000,21,2479
4190000,21,2146
4200000,21,2726
4210000,20,2195
4220000,20,2083
4230000,21,2260
4240000,21,3034
4250000,21,2274
4260000,21,2195
4270000,21,2182
4280000,21,2134
4290000,21,2626
4300000,21,2424
4310000,21,2281
4320000,21,2136
4330000,21,2333
4340000,21,2328
4350000,21,2153
4360000,21,2270
4370000,21,2194
4380000,21,2235
4390000,21,2210
4400000,21,2491
4410000,21,2401
4420000,21,2068
4430000,21,2092
4440000,21,2423
4450000,21,2375
4460000,21,2399
4470000,21,2357
4480000,21,2784
4490000,21,2084
4500000,21,2251
4510000,21,2367
4520000,21,2412
4530000,21,2182
4540000,21,2217
4550000,21,2126
4560000,21,2167
4570000,21,2140
4580000,21,2365
4590000,21,2904
4600000,21,2431
4610000,21,2220
4620000,21,2618
4630000,21,2412
4640000,21,2701
4650000,21,2299
4660000,21,2276
4670000,21,2420
4680000,21,2300
4690000,21,2357
4700000,21,2148
4710000,21,2273
4720000,21,2249
4730000,21,2433
4740000,21,2147
4750000,21,2154
4760000,21,2627
4770000,21,3854
4780000,21,2286
4790000,21,2536
4800000,21,2327
4810000,21,2592
4820000,21,2355
4830000,21,2273
4840000,21,2182
4850000,21,2528
4860000,21,2227
4870000,21,2795
4880000,21,2470
4890000,21,2161
4900000,21,2432
4910000,21,2522
4920000,21,2495
4930000,21,2076
4940000,21,2251
4950000,21,2182
4960000,21,2335
4970000,21,2361
4980000,21,2313
4990000,21,2220
5000000,21,2206
5010000,21,2265
5020000,21,2227
5030000,21,2283
5040000,21,2664
5050000,21,2186
5060000,21,2212
5070000,21,2197
5080000,21,2653
5090000,21,2243
5100000,21,2208
5110000,21,2297
5120000,21,2376
5130000,21,2252
5140000,21,2247
5150000,21,2500
5160000,21,2214
5170000,21,2421
5180000,21,2244
5190000,21,2495
5200000,21,2259
5210000,21,2307
5220000,21,2677
5230000,21,2994
5240000,21,2431
5250000,21,2546
5260000,21,2619
