n,comparisons,time_ns

10000,12,634
20000,13,645
30000,13,614
40000,14,310
50000,14,300
60000,14,236
70000,15,216
80000,15,238
90000,15,244
100000,15,244
110000,15,282
120000,15,292
130000,15,287
140000,16,311
150000,16,356
160000,16,304
170000,16,330
180000,16,358
190000,16,524
200000,16,321
210000,16,426
220000,16,397
230000,16,368
240000,16,369
250000,16,364
260000,16,457
270000,17,384
280000,17,466
290000,17,373
300000,17,482
310000,17,534
320000,17,679
330000,17,481
340000,17,444
350000,17,405
360000,17,442
370000,17,445
380000,17,439
390000,17,685
400000,17,480
410000,17,498
420000,17,635
430000,17,529
440000,17,496
450000,17,669
460000,17,664
470000,17,507
480000,17,577
490000,17,508
500000,17,503
510000,18,604
520000,18,497
530000,18,530
540000,18,498
550000,18,514
560000,18,554
570000,18,502
580000,18,548
590000,18,670
600000,18,552
610000,18,560
620000,18,531
630000,18,523
640000,18,538
650000,18,648
660000,18,545
670000,18,579
680000,18,581
690000,18,589
700000,18,586
710000,18,826
720000,18,546
730000,18,623
740000,18,570
750000,18,606
760000,18,620
770000,18,560
780000,18,626
790000,18,637
800000,18,596
810000,18,588
820000,18,678
830000,18,636
840000,18,637
850000,18,831
860000,18,587
870000,18,595
880000,18,615
890000,18,640
900000,18,681
910000,18,613
920000,18,658
930000,18,629
940000,18,650
950000,18,702
960000,18,647
970000,18,609
980000,18,621
990000,19,615
1000000,18,665
1010000,18,690
1020000,18,609
1030000,19,628
1040000,19,686
1050000,18,788
1060000,18,641
1070000,19,722
1080000,19,692
1090000,19,875
1100000,19,705
1110000,19,857
1120000,19,880
1130000,19,751
1140000,19,720
1150000,19,787
1160000,19,698
1170000,19,669
1180000,19,794
1190000,19,721
1200000,19,730
1210000,19,688
1220000,19,682
1230000,19,724
1240000,19,732
1250000,19,724
1260000,19,689
1270000,19,678
1280000,19,861
1290000,19,733
1300000,19,966
1310000,19,813
1320000,19,711
1330000,19,743
1340000,19,772
1350000,19,946
1360000,19,842
1370000,19,773
1380000,19,748
1390000,19,706
1400000,19,815
1410000,19,779
1420000,19,862
1430000,19,708
1440000,19,711
1450000,19,763
1460000,19,726
1470000,19,787
1480000,19,788
1490000,19,712
1500000,19,775
1510000,19,788
