n,comparisons,time_ns

10000,12,334
20000,13,191
30000,12,186
40000,12,183
50000,14,193
60000,13,179
70000,13,179
80000,13,197
90000,13,175
100000,14,180
110000,13,178
120000,13,199
130000,12,192
140000,14,186
150000,12,190
160000,12,183
170000,12,183
180000,14,209
190000,13,186
200000,12,190
210000,13,204
220000,12,212
230000,13,185
240000,13,206
250000,12,175
260000,13,208
270000,12,221
280000,12,178
290000,12,176
300000,13,189
310000,13,280
320000,12,169
330000,12,183
340000,13,178
350000,13,173
360000,13,177
370000,13,186
380000,13,175
390000,13,180
400000,16,190
410000,13,213
420000,13,179
430000,12,180
440000,12,179
450000,12,195
460000,13,171
470000,12,167
480000,13,173
490000,13,178
500000,12,186
510000,13,175
520000,14,192
530000,13,190
540000,13,170
550000,14,170
560000,13,168
570000,14,176
580000,13,174
590000,13,178
600000,13,187
610000,12,166
620000,13,175
630000,12,173
640000,12,187
650000,15,176
660000,12,165
670000,12,177
680000,13,168
690000,13,175
700000,13,172
710000,12,174
720000,13,178
730000,13,184
740000,14,194
750000,14,193
760000,13,168
770000,12,183
780000,12,170
790000,13,185
800000,13,189
810000,13,169
820000,14,173
830000,14,199
840000,14,190
850000,15,196
860000,12,165
870000,13,169
880000,14,179
890000,14,170
900000,14,178
910000,13,174
920000,14,191
930000,13,186
940000,13,170
950000,12,187
960000,12,178
970000,13,169
980000,13,184
990000,12,185
1000000,12,174
1010000,14,181
1020000,12,185
1030000,13,184
1040000,13,178
1050000,14,173
1060000,12,179
1070000,13,160
1080000,12,161
1090000,13,201
1100000,13,170
1110000,13,295
1120000,12,190
1130000,13,176
1140000,12,168
1150000,13,166
1160000,13,177
1170000,12,177
1180000,13,167
1190000,13,187
1200000,13,245
1210000,12,163
1220000,12,177
1230000,12,270
1240000,13,173
1250000,13,187
1260000,12,172
1270000,14,202
1280000,13,174
1290000,13,170
1300000,13,171
1310000,12,173
1320000,14,211
1330000,12,188
1340000,13,180
1350000,13,187
1360000,13,189
1370000,13,238
1380000,13,185
1390000,12,193
1400000,14,191
1410000,13,186
1420000,13,189
1430000,13,180
1440000,13,188
1450000,13,163
1460000,12,180
1470000,13,174
1480000,13,192
1490000,13,253
1500000,13,174
1510000,13,187
1520000,13,202
1530000,14,206
1540000,12,176
1550000,13,185
1560000,13,189
1570000,13,176
1580000,13,174
1590000,14,198
1600000,14,178
1610000,12,181
1620000,13,174
1630000,12,171
1640000,13,189
1650000,13,172
1660000,13,218
1670000,14,182
1680000,13,178
1690000,13,185
1700000,12,183
1710000,12,180
1720000,12,182
1730000,14,173
1740000,13,197
1750000,13,186
1760000,13,186
1770000,12,176
1780000,14,183
1790000,13,181
1800000,12,178
1810000,13,183
1820000,12,194
1830000,13,187
1840000,12,192
1850000,13,178
1860000,13,188
1870000,12,169
1880000,12,183
1890000,13,225
1900000,14,186
1910000,13,189
1920000,12,172
1930000,13,174
1940000,13,191
1950000,13,175
1960000,13,178
1970000,14,196
1980000,12,169
1990000,13,193
2000000,13,177
2010000,12,173
2020000,13,167
2030000,13,186
2040000,12,184
2050000,13,224
2060000,13,175
2070000,14,202
2080000,13,183
2090000,12,180
2100000,13,187
2110000,13,184
2120000,12,175
2130000,13,170
2140000,14,191
2150000,13,174
2160000,12,188
2170000,13,188
2180000,15,205
2190000,13,191
2200000,12,176
2210000,12,173
2220000,14,196
2230000,14,182
2240000,13,290
2250000,13,181
2260000,12,179
2270000,13,182
2280000,14,187
2290000,13,206
2300000,12,176
2310000,13,187
2320000,13,201
2330000,13,177
2340000,13,192
2350000,13,179
2360000,13,175
2370000,12,199
2380000,13,194
2390000,13,179
2400000,13,246
2410000,13,171
2420000,13,193
2430000,13,200
2440000,12,209
2450000,14,194
2460000,12,170
2470000,13,179
2480000,13,198
2490000,15,183
2500000,13,176
2510000,12,170
2520000,12,162
2530000,13,181
2540000,12,171
2550000,13,176
2560000,12,175
2570000,13,187
2580000,13,174
2590000,14,195
2600000,13,199
2610000,13,169
2620000,13,176
2630000,12,189
2640000,13,191
2650000,13,197
2660000,13,191
2670000,15,179
2680000,12,161
2690000,14,184
2700000,12,171
2710000,12,175
2720000,13,182
2730000,14,185
2740000,12,184
2750000,14,194
2760000,13,185
2770000,13,275
2780000,12,178
2790000,14,183
2800000,12,180
2810000,13,186
2820000,13,185
2830000,14,181
2840000,14,186
2850000,14,232
2860000,13,173
2870000,13,173
2880000,13,199
2890000,14,206
2900000,13,177
2910000,12,170
2920000,12,272
2930000,13,172
2940000,13,202
2950000,14,189
2960000,14,207
2970000,13,211
2980000,12,187
2990000,13,174
