n,comparisons,time_ns

10000,5092,18546
20000,10104,39959
30000,15253,23267
40000,19833,33652
50000,25094,44338
60000,30525,55127
70000,34624,65614
80000,39753,81093
90000,45057,89650
100000,50289,106241
110000,54053,119729
120000,59482,135885
130000,65165,143545
140000,70298,173262
150000,75774,157995
160000,82687,167719
170000,84941,216677
180000,91025,267309
190000,94809,264799
200000,97719,244438
210000,105349,324600
220000,110800,358410
230000,117295,329823
240000,120884,417665
250000,127324,411889
260000,129871,450631
270000,133551,488353
280000,140388,495633
290000,144286,517317
300000,152146,581199
310000,154298,556172
320000,161008,641007
330000,163844,644513
340000,167300,632349
350000,174334,696345
360000,182360,727144
370000,182393,699170
380000,187866,751576
390000,193154,776842
400000,200963,815867
410000,204739,798513
420000,207370,805068
430000,215216,843393
440000,215681,851538
450000,225277,897793
460000,228511,924906
470000,230365,920354
480000,239495,985532
490000,247725,996773
500000,251303,996067
510000,256715,1033548
520000,263562,1043005
530000,265779,1055692
540000,267232,1068857
550000,277921,1107364
560000,284788,1111030
570000,285102,1140623
580000,287830,1153074
590000,289771,1146761
600000,298339,1146034
610000,305467,1185322
620000,308708,1191800
630000,309551,1185667
640000,314643,1191022
650000,326067,1287028
660000,336262,1336818
670000,337436,1319346
680000,343717,1334870
690000,349138,1365718
700000,357082,1432784
710000,357090,1415243
720000,356476,1410615
730000,368920,1458926
740000,377557,1451605
750000,374214,1444924
760000,376977,1500869
770000,380732,1506983
780000,400180,1562122
790000,397065,1553654
800000,406365,1575029
810000,404736,1573551
820000,410478,1585988
830000,411238,1595423
840000,421328,1643162
850000,430404,1710808
860000,433804,1628109
870000,434401,1617674
880000,426431,1612183
890000,432418,1582461
900000,443497,1673795
910000,454363,1720970
920000,459789,1733388
930000,466294,1755415
940000,469929,1769291
950000,478924,1825252
960000,481268,1806667
970000,488553,1753577
980000,504026,1806817
990000,493269,1833751
1000000,503200,1852225
1010000,501345,1908532
1020000,512666,1921441
1030000,511897,1867792
1040000,517583,1905961
1050000,515333,1924178
1060000,536680,1933281
1070000,528627,1956903
1080000,546245,2039600
1090000,543791,1983451
1100000,545233,2011572
1110000,553912,2025625
1120000,551702,2003754
1130000,550019,2013360
1140000,569112,2056137
1150000,584116,2109713
1160000,588952,2141775
1170000,588403,2158755
1180000,589215,2091345
1190000,594637,2121116
1200000,608240,2176048
