n,comparisons,time_ns

5000,10,371
10000,10,150
15000,10,198
20000,10,176
25000,10,186
30000,10,191
35000,11,206
40000,11,215
45000,11,205
50000,11,206
55000,11,237
60000,11,235
65000,11,208
70000,11,194
75000,11,210
80000,11,222
85000,11,216
90000,11,201
95000,11,222
100000,11,303
105000,11,232
110000,11,264
115000,11,215
120000,11,216
125000,11,218
130000,11,456
135000,11,220
140000,11,190
145000,11,240
150000,11,207
155000,11,230
160000,11,326
165000,11,229
170000,11,211
175000,11,224
180000,11,218
185000,11,238
190000,11,288
195000,11,281
200000,11,260
205000,11,261
210000,11,278
215000,11,309
220000,11,262
225000,11,242
230000,11,229
235000,11,227
240000,11,335
245000,11,283
250000,11,259
255000,11,259
260000,11,302
265000,11,291
270000,11,259
275000,11,308
280000,11,327
285000,11,258
290000,11,307
295000,11,315
300000,11,277
305000,11,390
310000,11,305
315000,11,258
320000,11,311
325000,11,296
330000,11,284
335000,11,421
340000,11,242
345000,11,337
350000,11,297
355000,11,421
360000,11,321
365000,11,454
370000,11,308
375000,11,271
380000,11,519
385000,11,310
390000,11,296
395000,11,279
400000,11,328
405000,11,288
410000,11,353
415000,11,323
420000,11,350
425000,11,295
430000,11,493
435000,11,279
440000,11,421
445000,11,282
450000,11,301
455000,11,371
460000,11,284
465000,11,456
470000,11,331
475000,11,288
480000,11,346
485000,11,325
490000,11,323
495000,11,375
500000,11,314
