n,comparisons,time_ns

10,2,460
12,3,200
14,3,178
16,3,168
18,3,177
21,3,285
24,3,258
28,4,382
32,4,153
37,4,86
43,4,81
49,4,87
56,4,91
64,5,92
74,5,85
85,5,132
98,5,130
113,5,107
130,6,106
150,6,95
173,6,172
199,6,158
229,6,95
263,7,93
302,7,123
347,7,101
399,7,107
459,7,230
528,8,160
607,8,119
698,8,126
803,8,110
923,8,108
1061,9,109
1220,9,117
1403,9,143
1613,9,124
1855,9,129
2133,10,129
2453,10,140
2821,10,187
3244,10,154
3731,10,170
4291,11,192
4935,11,165
5675,11,165
6526,11,169
7505,11,174
8631,12,184
9926,12,193
11415,12,217
13127,12,201
15096,12,219
17360,13,311
19964,13,274
22959,13,274
26403,13,296
30363,13,301
34917,14,314
40155,14,332
46178,14,546
53105,14,374
61071,14,372
70232,15,469
80767,15,657
92882,15,570
106814,15,696
122836,15,849
141261,16,799
162450,16,1086
186818,16,727
214841,16,1079
247067,16,1243
284127,17,821
326746,17,1110
375758,17,1034
432122,17,1084
496940,17,1120
571481,18,1157
657203,18,1358
755783,18,1435
869150,18,2614
999522,18,1736
1149450,19,2111
1321868,19,1686
1520148,19,1942
1748170,19,1871
2010395,19,1883
2311954,20,3293
2658747,20,1959
3057559,20,1944
3516193,20,1939
4043622,20,2391
4650165,21,2470
5347690,21,2394
6149843,21,2345
