n,comparisons,time_ns

5000,11,222
10000,12,197
15000,12,278
20000,13,341
25000,13,334
30000,13,349
35000,14,465
40000,14,782
45000,14,828
50000,14,731
55000,14,560
60000,14,629
65000,15,479
70000,15,486
75000,15,600
80000,15,767
85000,15,609
90000,15,641
95000,15,703
100000,15,1111
105000,15,744
110000,15,820
115000,15,1058
120000,15,954
125000,15,937
130000,15,926
135000,16,779
140000,16,832
145000,16,970
150000,16,867
155000,16,1027
160000,16,1020
165000,16,823
170000,16,1185
175000,16,904
180000,16,861
185000,16,982
190000,16,962
195000,16,1351
200000,16,1152
205000,16,990
210000,16,1098
215000,16,1091
220000,16,1080
225000,16,953
230000,16,1017
235000,16,1004
240000,16,1149
245000,16,1069
250000,16,986
255000,17,1035
260000,17,1286
265000,17,4381
270000,16,1219
275000,17,1250
280000,17,1334
285000,17,1155
290000,17,1263
295000,17,1268
300000,17,1091
305000,17,1212
310000,17,1225
315000,17,1311
320000,17,1500
325000,17,1276
330000,17,1623
335000,17,1361
340000,17,1110
345000,17,1356
350000,17,1154
355000,17,1378
360000,17,1508
365000,17,1445
370000,17,1288
375000,17,1342
380000,17,1312
385000,17,1247
390000,17,1439
395000,17,1157
400000,17,1851
405000,17,1192
410000,17,1487
415000,17,1405
420000,17,1481
425000,17,1623
430000,17,1378
435000,17,1222
440000,17,1423
445000,17,1631
450000,17,1319
455000,17,1843
460000,17,1289
465000,17,1532
470000,17,1410
475000,17,1178
480000,17,1503
485000,17,1492
490000,18,1600
495000,17,1556
500000,17,1491
