n,comparisons,time_ns

10,2,1400
12,3,3875
14,3,721
16,3,493
18,3,372
21,3,323
24,3,366
28,4,592
32,4,371
37,4,513
43,4,272
49,4,553
56,4,283
64,5,262
74,5,316
85,5,488
98,5,430
113,5,339
130,6,323
150,6,301
173,6,327
199,6,407
229,6,596
263,7,346
302,7,547
347,7,359
399,7,407
459,7,425
528,8,389
607,8,420
698,8,406
803,8,429
923,8,415
1061,9,448
1220,9,215
1403,9,181
1613,9,217
1855,9,194
2133,10,113
2453,10,146
2821,10,123
3244,10,170
3731,10,152
4291,11,133
4935,11,183
5675,11,140
6526,11,140
7505,11,155
8631,12,150
9926,12,158
11415,12,272
13127,12,160
15096,12,205
17360,13,174
19964,13,163
22959,13,193
26403,13,221
30363,13,179
34917,14,187
40155,14,184
46178,14,198
53105,14,262
61071,14,207
70232,15,218
80767,15,229
92882,15,274
106814,15,274
122836,15,269
141261,16,393
162450,16,292
186818,16,306
214841,16,417
247067,16,443
284127,17,441
326746,17,428
375758,17,439
432122,17,453
496940,17,579
571481,18,559
657203,18,537
755783,18,565
869150,18,769
999522,18,921
1149450,19,639
1321868,19,717
1520148,19,703
1748170,19,792
2010395,20,828
2311954,20,1156
2658747,20,1314
3057559,20,875
3516193,20,976
4043622,20,1005
4650165,21,1013
5347690,21,1144
6149843,21,1088
