n,comparisons,time_ns

5000,13,364
10000,11,140
15000,12,151
20000,11,167
25000,11,241
30000,11,153
35000,12,175
40000,11,156
45000,12,273
50000,13,182
55000,11,192
60000,12,177
65000,11,157
70000,12,158
75000,12,173
80000,12,163
85000,11,155
90000,11,157
95000,11,152
100000,13,161
105000,12,170
110000,11,170
115000,11,172
120000,12,161
125000,11,177
130000,11,167
135000,12,165
140000,12,172
145000,12,187
150000,11,173
155000,12,185
160000,11,177
165000,11,165
170000,10,165
175000,11,164
180000,13,169
185000,12,160
190000,11,186
195000,11,168
200000,11,179
205000,11,160
210000,11,162
215000,12,190
220000,11,158
225000,11,166
230000,11,162
235000,11,166
240000,12,179
245000,12,303
250000,10,155
255000,11,163
260000,12,160
265000,11,177
270000,11,180
275000,12,172
280000,11,150
285000,12,173
290000,11,156
295000,11,171
300000,12,155
305000,13,162
310000,11,157
315000,12,149
320000,11,145
325000,11,152
330000,11,397
335000,11,145
340000,12,153
345000,11,153
350000,12,168
355000,11,162
360000,11,181
365000,11,145
370000,11,144
375000,11,146
380000,12,162
385000,12,162
390000,11,154
395000,12,152
400000,15,186
405000,11,140
410000,12,166
415000,11,160
420000,11,207
425000,12,153
430000,11,158
435000,12,150
440000,10,150
445000,11,145
450000,11,166
455000,12,157
460000,12,155
465000,11,161
470000,11,162
475000,12,163
480000,12,169
485000,12,212
490000,12,146
495000,11,145
500000,11,147
