n,comparisons,time_ns

10,5,1000
12,6,358
14,7,300
16,8,362
18,9,405
21,11,709
24,12,483
28,14,521
32,16,228
37,19,178
43,22,155
49,25,195
56,28,196
64,32,210
74,37,221
85,43,447
98,49,423
113,57,423
130,65,436
150,75,584
173,87,597
199,100,770
229,115,928
263,132,900
302,151,1026
347,174,1149
399,200,1411
459,230,1618
528,264,1775
607,304,1898
698,349,2420
803,402,2582
923,462,3392
1061,531,3348
1220,610,3950
1403,702,4718
1613,807,5351
1855,928,6287
2133,1058,7120
2453,1221,8311
2821,1409,9502
3244,1616,10861
3731,1869,12770
4291,2168,18794
4935,2452,16133
5675,2858,18515
6526,3233,21870
7505,3755,25051
8631,4360,29813
9926,4927,35230
11415,5623,39604
13127,6557,48566
15096,7538,48566
17360,8620,55014
19964,9854,70954
22959,11439,74357
26403,FAIL,FAIL
23418,11441,81565
23886,12003,83920
24364,11972,91015
24851,12392,92977
25348,FAIL,FAIL
