n,comparisons,time_ns

10,5,1750
12,6,333
14,7,292
16,8,600
18,9,405
21,11,433
24,12,462
28,14,485
32,16,206
37,19,172
43,22,153
49,25,967
56,28,200
64,32,195
74,37,218
85,43,503
98,49,526
113,57,486
130,65,432
150,75,598
173,87,616
199,100,708
229,115,956
263,132,888
302,151,1100
347,174,1142
399,200,1411
459,230,1545
528,264,1764
607,304,2270
698,349,2460
803,402,3105
923,462,3654
1061,531,4372
1220,610,4120
1403,702,4682
1613,807,6090
1855,928,6820
2133,1075,7557
2453,1232,8444
2821,1412,9798
3244,1628,11298
3731,1862,12628
4291,2123,13856
4935,2483,16855
5675,2817,18322
6526,3293,22601
7505,3750,24124
8631,4271,28394
9926,4999,31036
11415,5792,40048
13127,6570,44829
15096,7558,65093
17360,8740,62562
19964,10110,76514
22959,11520,75763
26403,FAIL,FAIL
23418,11977,80052
23886,11883,88844
24364,12392,90073
24851,12459,85155
25348,FAIL,FAIL
