n,comparisons,time_ns

10,5,1010
12,6,1575
14,7,521
16,8,768
18,9,638
21,11,595
24,12,675
28,14,1125
32,16,1212
37,19,1937
43,22,1374
49,25,2563
56,28,1819
64,32,2510
74,37,2068
85,43,2490
98,49,2492
113,57,1932
130,65,2042
150,75,2209
173,87,2639
199,100,2122
229,115,1161
263,132,1161
302,151,2391
347,174,1354
399,200,853
459,230,937
528,264,1086
607,304,675
698,349,536
803,402,630
923,462,729
1061,531,799
1220,610,825
1403,702,922
1613,807,1107
1855,928,1197
2133,1066,1347
2453,1232,1602
2821,1392,1827
3244,1635,2440
3731,1874,2498
4291,2141,2983
4935,2446,3732
5675,2850,4194
6526,3281,4743
7505,3791,7104
8631,4323,7514
9926,4915,9043
11415,5651,8076
13127,6669,10649
15096,7620,10983
17360,8871,12156
19964,9887,15929
22959,11494,15970
26403,13096,25157
30363,15237,23485
34917,17529,25616
40155,20290,31332
46178,23220,38936
53105,26484,48167
61071,29973,53650
70232,35553,66353
80767,40175,75939
92882,46527,96623
106814,53282,100711
122836,62812,150065
141261,70445,162979
162450,81132,175908
186818,93005,194978
214841,105552,241928
247067,122679,369138
284127,141049,395704
326746,163572,526292
375758,187609,582460
432122,214351,744022
496940,246922,826989
571481,288326,983385
657203,326051,1128581
755783,381751,1295626
869150,429790,1713623
999522,495637,2193214
1149450,572555,1940373
1321868,651998,2153591
1520148,745275,2323363
1748170,865879,2849324
2010395,1020779,3390685
2311954,1164882,3643752
2658747,1313760,4270880
3057559,1548633,5087312
3516193,1741834,5640492
4043622,2013464,6448289
4650165,2285473,7325848
5347690,2657690,8599478
6149843,3097327,10123272
