n,comparisons,copies,time_ns
10,45,0,2200
12,66,0,8400
14,91,0,9000
16,120,0,8500
18,153,0,4800
21,210,0,6800
24,276,0,8100
28,378,0,11100
32,496,0,14400
37,666,0,19000
43,903,0,45400
49,1176,0,58400
56,1540,0,52200
64,2016,0,55000
74,2701,0,111600
85,3570,0,21200
98,4753,0,28100
113,6328,0,64900
130,8385,0,127800
150,11175,0,138300
173,14878,0,77800
199,19701,0,69500
229,26106,0,146100
263,34453,0,151900
302,45451,0,157200
347,60031,0,283000
399,79401,0,304700
459,105111,0,356500
528,139128,0,474800
607,183921,0,639900
698,243253,0,803800
803,322003,0,1083100
923,425503,0,1754700
1061,562330,0,1872600
1220,743590,0,3472900
1403,983503,0,4329700
1613,1300078,0,8043200
1855,1719585,0,6411100
2133,2273778,0,8216500
2453,3007378,0,11399800
2821,3977610,0,15306100
3244,5260146,0,22205600
3731,6958315,0,27266700
4291,9204195,0,40262100
4935,12174645,0,52205800
5675,16099975,0,69831800
6526,21291075,0,83908900
7505,28158760,0,130590000
8631,37242765,0,164156600
9926,49257775,0,209723100
11415,65145405,0,282818400
13127,86152501,0,359134300
15096,113937060,0,501689000
17360,150676120,0,677442700
19964,199270666,0,949800700
22959,263546361,0,1210318700
26403,348546003,0,1574406000
