n,comparisons,copies,time_ns
10,45,90,9400
11,55,110,1900
12,66,132,2300
13,78,156,4800
14,91,182,3100
15,105,210,3200
17,136,272,4300
19,171,342,10300
21,210,420,8000
23,253,506,9700
25,300,600,11300
28,378,756,13100
31,465,930,15000
34,561,1122,18600
37,666,1332,20200
41,820,1640,29800
45,990,1980,32700
50,1225,2450,33100
55,1485,2970,45600
61,1830,3660,56500
67,2211,4422,10400
74,2701,5402,10800
81,3240,6480,13200
89,3916,7832,23100
98,4753,9506,33500
108,5778,11556,50600
119,7021,14042,27600
131,8515,17030,33500
144,10296,20592,76800
158,12403,24806,67600
174,15051,30102,69100
191,18145,36290,100000
210,21945,43890,92500
231,26565,53130,49000
254,32131,64262,59100
279,38781,77562,71000
307,46971,93942,50900
338,56953,113906,169900
372,69006,138012,126600
409,83436,166872,88700
450,101025,202050,185000
495,122265,244530,129100
545,148240,296480,275500
600,179700,359400,227000
660,217470,434940,299300
726,263175,526350,399300
799,318801,637602,517100
879,385881,771762,494500
967,467061,934122,722800
1064,565516,1131032,708700
1170,683865,1367730,889700
1287,827541,1655082,1060800
1416,1001820,2003640,1273100
1558,1212903,2425806,1530900
1714,1468041,2936082,1841000
1885,1775670,3551340,2262900
2074,2149701,4299402,2698700
2281,2600340,5200680,3296500
2509,3146286,6292572,3952700
2760,3807420,7614840,4828700
3036,4607130,9214260,6268700
3340,5576130,11152260,7176900
3674,6747301,13494602,8679600
4041,8162820,16325640,10244200
4445,9876790,19753580,15331800
4890,11953605,23907210,15094600
5379,14464131,28928262,18191800
5917,17502486,35004972,21586100
6509,21180286,42360572,25318200
7160,25629220,51258440,32810100
7876,31011750,62023500,38644400
8664,37528116,75056232,48951400
9530,45405685,90811370,56279800
10483,54941403,109882806,66195600
11531,66476215,132952430,89395800
12684,80435586,160871172,103050500
13952,97322176,194644352,121157800
15347,117757531,235515062,148946900
16882,142492521,284985042,174486200
18570,172413165,344826330,220587100
20427,208620951,417241902,250108700
22470,252439215,504878430,313013800
24717,305452686,610905372,377437100
27189,369607266,739214532,461110600
29908,447229278,894458556,563477700
32899,541155651,1082311302,660081600
36189,654803766,1309607532,836471600
39808,792318528,1584637056,949713200
43789,958716366,1917432732,1205655500
48168,1160054028,2320108056,1455881100
52985,1403678620,2807357240,1745586600
58284,1698483186,3396966372,2096751000
64112,2055142216,4110284432,2558204700
70523,2486711503,4973423006,3099080400
77575,3008901525,6017803050,3713690400
85333,3640817778,7281635556,4621893000
93866,4405366045,8810732090,5554767900
103253,5330539378,10661078756,6795668900
113578,6449924253,12899848506,8049154500
124936,7804439580,15608879160,9707305700
137430,9443433735,18886867470,11744257900
