n,comparisons,copies,time_ns
10,45,46,3900
12,66,34,6300
14,91,68,9200
16,120,88,10700
18,153,36,5000
21,210,150,7300
24,276,170,9900
28,378,226,13200
32,496,180,16300
37,666,256,21100
43,903,230,48900
49,1176,502,95200
56,1540,486,65400
64,2016,716,62300
74,2701,426,36400
85,3570,728,23900
98,4753,960,39200
113,6328,1082,72200
130,8385,1354,148900
150,11175,1964,162900
173,14878,3550,100700
199,19701,5164,120400
229,26106,4054,156600
263,34453,4300,142900
302,45451,6274,183300
347,60031,9894,255100
399,79401,7876,319400
459,105111,15978,700300
528,139128,14498,570500
607,183921,17434,1120100
698,243253,24352,906900
803,322003,25808,1227200
923,425503,36564,2261200
1061,562330,41906,3775800
1220,743590,58802,2900900
1403,983503,69430,4085900
1613,1300078,91712,5199100
1855,1719585,87494,8150800
2133,2273778,125172,8747000
2453,3007378,160408,12579400
2821,3977610,187094,16995200
3244,5260146,216602,26293600
3731,6958315,286046,33846600
4291,9204195,349452,42107900
4935,12174645,478908,56244100
5675,16099975,577170,69726500
6526,21291075,650998,84586900
7505,28158760,833342,123034500
8631,37242765,941806,159460700
9926,49257775,1350544,213765500
11415,65145405,1467442,287925300
13127,86152501,1762930,384676700
15096,113937060,2219226,511143200
17360,150676120,3132748,706639800
19964,199270666,3900678,874087600
22959,263546361,4338540,1730182400
26403,348546003,5524140,1677843200
