n,comparisons,copies,time_ns
10,45,2,2300
12,66,22,6700
14,91,10,7200
16,120,42,9800
18,153,10,4800
21,210,0,6200
24,276,38,8500
28,378,2,10700
32,496,48,14900
37,666,68,19400
43,903,92,49600
49,1176,88,62800
56,1540,214,53000
64,2016,234,57400
74,2701,224,52700
85,3570,304,22600
98,4753,338,29400
113,6328,852,70200
130,8385,1142,145800
150,11175,1872,183200
173,14878,1514,88000
199,19701,2480,114600
229,26106,4030,139700
263,34453,4170,139700
302,45451,6854,217500
347,60031,6446,245000
399,79401,9518,375200
459,105111,16326,536700
528,139128,19916,564100
607,183921,23288,797400
698,243253,30366,948000
803,322003,41616,1300700
923,425503,55300,2146300
1061,562330,68614,3959000
1220,743590,98250,3022500
1403,983503,111240,4321500
1613,1300078,155682,5958200
1855,1719585,210014,9367800
2133,2273778,274794,10272000
2453,3007378,392950,13423900
2821,3977610,515418,19044800
3244,5260146,703592,25327400
3731,6958315,849582,36010000
4291,9204195,1105474,42590600
4935,12174645,1372106,57711300
5675,16099975,2023784,76061000
6526,21291075,2634520,95069400
7505,28158760,3440174,133070500
8631,37242765,4503216,183577100
9926,49257775,6217132,247076300
11415,65145405,7836886,323845600
13127,86152501,10776264,408522600
15096,113937060,13394702,594288200
17360,150676120,19573348,797335900
19964,199270666,25514336,990878100
22959,263546361,31544124,1385414000
26403,348546003,44221644,1806553100
