n,comparisons,copies,time_ns
10,45,82,3600
12,66,94,6900
14,91,146,8800
16,120,184,11300
18,153,234,6100
21,210,330,8300
24,276,446,10900
28,378,614,14700
32,496,738,19500
37,666,1152,24500
43,903,1554,78800
49,1176,1794,82100
56,1540,2532,70200
64,2016,3600,73300
74,2701,4620,40400
85,3570,6362,29000
98,4753,8230,39200
113,6328,11038,91900
130,8385,14948,192500
150,11175,19974,186000
173,14878,27342,108100
199,19701,35538,135400
229,26106,48094,142300
263,34453,65110,142900
302,45451,82528,192300
347,60031,110888,247800
399,79401,145658,338100
459,105111,199816,704600
528,139128,262750,557800
607,183921,350312,695700
698,243253,468606,895400
803,322003,612934,1220800
923,425503,819498,1556400
1061,562330,1093486,2050600
1220,743590,1423322,2710500
1403,983503,1901052,3709200
1613,1300078,2517384,5569600
1855,1719585,3329208,5956900
2133,2273778,4420968,8002900
2453,3007378,5845388,12075500
2821,3977610,7764642,14168200
3244,5260146,10244402,18645800
3731,6958315,13617052,23702300
4291,9204195,18028894,33126600
4935,12174645,23850002,50709600
5675,16099975,31635604,54876300
6526,21291075,41856720,77833400
7505,28158760,55440138,94404600
8631,37242765,73392588,135804200
9926,49257775,97226562,170168900
11415,65145405,128691536,248605700
13127,86152501,170104664,330142800
15096,113937060,225333110,395832000
17360,150676120,298245624,598787600
19964,199270666,394780778,1047401000
22959,263546361,522553022,1610851100
26403,348546003,691195890,1379852700
