n,comparisons,copies,time_ns
10,45,66,2700
11,55,72,1800
12,66,76,2100
13,78,136,4700
14,91,130,3300
15,105,140,3200
17,136,194,4400
19,171,234,9600
21,210,272,6600
23,253,392,8400
25,300,372,12600
28,378,584,15200
31,465,696,12900
34,561,834,17200
37,666,1056,17800
41,820,1148,26800
45,990,1216,31300
50,1225,1820,34000
55,1485,2282,41900
61,1830,2748,54200
67,2211,2758,12900
74,2701,4070,13900
81,3240,4372,16800
89,3916,5560,21300
98,4753,6954,27000
108,5778,8104,58500
119,7021,10118,33800
131,8515,13058,41300
144,10296,15518,93300
158,12403,16892,73400
174,15051,20382,79900
191,18145,27636,110600
210,21945,30432,92200
231,26565,38728,76200
254,32131,46978,99500
279,38781,57684,99600
307,46971,69634,181100
338,56953,88732,138700
372,69006,101648,154800
409,83436,118326,175800
450,101025,151402,210100
495,122265,182820,247600
545,148240,221568,293000
600,179700,257408,267200
660,217470,317872,287200
726,263175,401528,493100
799,318801,473054,1140300
879,385881,554914,490600
967,467061,674522,509600
1064,565516,825848,840500
1170,683865,988212,736500
1287,827541,1227530,911100
1416,1001820,1433886,1049000
1558,1212903,1795144,1283100
1714,1468041,2133034,1499600
1885,1775670,2657700,1746000
2074,2149701,3140988,2027400
2281,2600340,3753244,2468300
2509,3146286,4569610,2814800
2760,3807420,5660516,3631100
3036,4607130,6673910,4398300
3340,5576130,8182944,5180400
3674,6747301,9844600,6179800
4041,8162820,11893308,7424500
4445,9876790,14434098,9106300
4890,11953605,17494956,11675100
5379,14464131,21369790,13913600
5917,17502486,25744508,15675500
6509,21180286,31112986,20456900
7160,25629220,37384774,24619200
7876,31011750,45488894,27139000
8664,37528116,55331450,38032000
9530,45405685,66770172,43438100
10483,54941403,80262056,52459800
11531,66476215,97998594,74013300
12684,80435586,117024492,102129500
13952,97322176,142359702,118535800
15347,117757531,172709898,166099900
16882,142492521,209266212,201537000
18570,172413165,253837640,262698700
20427,208620951,303717068,323211900
22470,252439215,369887584,407581800
24717,305452686,449353404,513215400
27189,369607266,540070444,669685400
29908,447229278,656277292,825470000
32899,541155651,793757302,1041331900
36189,654803766,957285770,1230891700
39808,792318528,1165048644,1550407600
43789,958716366,1408191426,1914095500
48168,1160054028,1697465038,2414329300
52985,1403678620,2061845246,2890772600
58284,1698483186,2489107362,3571393300
64112,2055142216,3022757240,4291400900
70523,2486711503,3640525288,5257112300
77575,3008901525,4407878340,6408833400
85333,3640817778,5340279058,7739076600
93866,4405366045,6449882538,9493271300
103253,5330539378,7802746492,11448823500
113578,6449924253,9452839156,14003752600
124936,7804439580,11431316956,16980030800
137430,9443433735,13856183656,20613488600
