n,comparisons,copies,time_ns
10,45,42,4600
11,55,42,2800
12,66,84,3200
13,78,70,8000
14,91,106,3400
15,105,76,3900
17,136,124,5600
19,171,166,9100
21,210,100,7400
23,253,240,8600
25,300,286,11100
28,378,340,12600
31,465,560,18300
34,561,710,19900
37,666,734,19000
41,820,1002,28400
45,990,872,31200
50,1225,1236,33900
55,1485,1438,44400
61,1830,1776,54900
67,2211,2160,17200
74,2701,2860,13500
81,3240,3418,16200
89,3916,3778,25000
98,4753,4690,50400
108,5778,5820,49800
119,7021,6654,31600
131,8515,7478,41800
144,10296,10604,73700
158,12403,11346,94800
174,15051,15530,78900
191,18145,17932,128300
210,21945,21834,94600
231,26565,25902,81200
254,32131,32848,95100
279,38781,38474,107600
307,46971,48974,129800
338,56953,59432,191400
372,69006,70326,181800
409,83436,81540,202700
450,101025,102312,254500
495,122265,117986,334800
545,148240,151082,378100
600,179700,179640,282600
660,217470,215730,328400
726,263175,267724,463600
799,318801,318454,976000
879,385881,380822,484900
967,467061,458034,702500
1064,565516,584380,675700
1170,683865,687376,827100
1287,827541,814528,1194300
1416,1001820,993978,1539400
1558,1212903,1235408,1385700
1714,1468041,1496996,1700100
1885,1775670,1763304,1970500
2074,2149701,2148808,2267900
2281,2600340,2610782,2936300
2509,3146286,3148442,3335100
2760,3807420,3758044,4080100
3036,4607130,4597246,4995500
3340,5576130,5530238,6321200
3674,6747301,6840118,7775000
4041,8162820,8224314,9397600
4445,9876790,9874540,12515200
4890,11953605,12144148,20644600
5379,14464131,14423992,19850500
5917,17502486,17540094,26036300
6509,21180286,21322206,32267200
7160,25629220,25219044,43542600
7876,31011750,31084394,52324000
8664,37528116,37896000,67959700
9530,45405685,45542108,85244400
10483,54941403,55480890,107575500
11531,66476215,66286468,135035500
12684,80435586,79923844,174902400
13952,97322176,97337172,206549800
15347,117757531,119315120,271959400
16882,142492521,141616534,325142900
18570,172413165,171388872,399456800
20427,208620951,207360550,491633000
22470,252439215,252368270,627923000
24717,305452686,305597024,755706400
27189,369607266,372068044,917778400
29908,447229278,446345550,1065303600
32899,541155651,542255936,1345349700
36189,654803766,656087730,1609154800
39808,792318528,787513208,2001822200
43789,958716366,957823498,2429426400
48168,1160054028,1154004128,2939068900
52985,1403678620,1407917800,3607792800
58284,1698483186,1695717010,4347559700
64112,2055142216,2047668020,5263998100
70523,2486711503,2482419010,6404244500
77575,3008901525,3012246862,7749876300
85333,3640817778,3640192762,9407536700
93866,4405366045,4399166182,11520883000
103253,5330539378,5337493696,13881421500
113578,6449924253,6466732090,16820107500
124936,7804439580,7795453956,20502497000
137430,9443433735,9469197316,24885638300
