n,comparisons,copies,time_ns
10,41,60,4700
11,49,68,840
12,55,80,860
13,63,88,940
14,69,96,960
15,77,104,1140
17,95,128,1160
19,113,148,580
21,131,168,680
23,149,192,700
25,167,216,1000
28,193,248,900
31,221,280,640
34,254,324,580
37,288,360,560
41,333,412,720
45,378,464,760
50,434,540,760
55,491,604,820
61,558,680,960
67,635,776,1180
74,730,884,1260
81,823,988,1720
89,928,1104,1700
98,1052,1256,1920
108,1188,1400,2040
119,1337,1580,3980
131,1507,1776,4880
144,1709,1992,6280
158,1924,2240,5260
174,2175,2524,6500
191,2440,2820,9140
210,2741,3152,9540
231,3071,3520,9020
254,3425,3916,11680
279,3860,4396,6260
307,4353,4944,7080
338,4901,5560,6880
372,5497,6212,7660
409,6148,6920,8580
450,6874,7724,9800
495,7669,8608,10760
545,8610,9628,12140
600,9693,10808,13540
660,10888,12120,15140
726,12184,13548,19620
799,13627,15104,18740
879,15200,16824,22820
967,16935,18704,25200
1064,18917,20824,28420
1170,21230,23348,31340
1287,23786,26120,40040
1416,26574,29100,42900
1558,29670,32476,46060
1714,33062,36136,54980
1885,36787,40168,63180
2074,40944,44660,68240
2281,45844,49984,76800
2509,51256,55844,85660
2760,57194,62316,97260
3036,63729,69424,102000
3340,70937,77256,113300
3674,78839,85864,131740
4041,87546,95216,149740
4445,97841,106412,165400
4890,109298,118820,187500
5379,121899,132388,208660
5917,135734,147340,229220
6509,151003,163844,257900
7160,167742,181924,282360
7876,186178,201816,357700
8664,207396,224504,389840
9530,231423,250052,385840
10483,257863,278136,432560
11531,286931,309020,473540
12684,318929,343000,517400
13952,354103,380396,576120
15347,392801,421532,629140
16882,436365,467700,1000660
18570,486558,520804,775120
20427,541771,579196,858780
22470,602487,643432,941880
24717,669294,714048,1046180
27189,742769,791792,1144820
29908,823604,877308,1262160
32899,912800,971684,1389700
36189,1017181,1082252,1558300
39808,1132018,1203940,1727820
43789,1258362,1337800,1916720
48168,1397307,1485044,2103740
52985,1550146,1646952,2401440
58284,1718285,1825108,2590340
64112,1903218,2021084,2837940
70523,2116878,2247384,3308000
77575,2355061,2499552,3591160
85333,2617107,2777052,4692980
93866,2905350,3082316,4353380
