n,comparisons,copies,time_ns
10,35,42,7600
12,47,56,6000
14,61,70,2900
16,72,84,4700
18,87,102,2100
21,111,128,2900
24,137,160,3000
28,171,192,3500
32,202,224,3800
37,248,276,4600
43,316,358,5800
49,366,400,12000
56,441,484,9300
64,525,576,11900
74,640,698,10700
85,765,828,9400
98,926,998,8200
113,1121,1200,13200
130,1326,1418,19400
150,1596,1698,23300
173,1898,2024,24000
199,2259,2426,31800
229,2714,2896,35100
263,3201,3398,45600
302,3799,4026,36500
347,4504,4762,40100
399,5370,5650,48200
459,6352,6658,88600
528,7459,7816,65100
607,8854,9294,75500
698,10477,10946,85000
803,12330,12938,98400
923,14559,15194,110900
1061,17180,18000,186300
1220,20228,21156,243800
1403,23845,24802,192900
1613,28144,29216,222700
1855,32976,34258,265800
2133,38830,40276,304000
2453,45615,47348,349500
2821,53559,55568,386500
3244,63161,65380,448700
3731,74032,76974,542900
4291,86800,89970,905400
4935,101763,105098,1072500
5675,119670,123494,907000
6526,139857,144826,955700
7505,164031,169200,1264400
8631,192002,197882,1198100
9926,224880,231602,1507000
11415,262896,271046,1671900
13127,307615,316962,2182700
15096,360268,370728,2522100
17360,421107,433628,2849100
19964,492256,506936,3413800
22959,575589,590858,4768000
26403,671674,689114,7472400
