n,comparisons,copies,time_ns
10,42,58,13600
12,53,78,5400
14,69,88,3000
16,79,104,4900
18,100,132,2300
21,126,158,3200
24,153,194,3000
28,191,238,4500
32,234,288,4700
37,280,340,5200
43,353,434,5600
49,424,506,11800
56,500,602,10100
64,590,708,14000
74,718,846,11500
85,881,1036,9900
98,1050,1228,9000
113,1249,1450,15300
130,1489,1722,20500
150,1792,2064,23800
173,2139,2454,27100
199,2549,2908,31900
229,3008,3414,37200
263,3561,4040,48000
302,4241,4782,36600
347,5031,5646,43000
399,5965,6684,49800
459,7002,7826,81800
528,8234,9218,68900
607,9801,10914,77800
698,11579,12896,88400
803,13634,15100,102200
923,16005,17684,114200
1061,18804,20746,204100
1220,22235,24474,250900
1403,26195,28738,187200
1613,30775,33696,231400
1855,36033,39450,295600
2133,42217,46132,296800
2453,49809,54268,340400
2821,58560,63742,384100
3244,68571,74550,511500
3731,80109,87054,527900
4291,93751,101720,572900
4935,110387,119524,1072100
5675,129392,140018,1294700
6526,151292,163334,915900
7505,176468,190426,1060800
8631,206383,222526,1124400
9926,242237,260660,1497100
11415,283520,304690,1659900
13127,331022,355330,1983400
15096,385625,413490,3443800
17360,450330,482284,2490000
19964,527774,564326,3140600
22959,616760,658660,3713100
26403,719283,767388,7161800
