n,comparisons,copies,time_ns
10,40,58,4180
11,49,66,800
12,55,80,960
13,59,76,940
14,68,94,1060
15,72,94,1000
17,94,126,1300
19,113,150,520
21,134,170,600
23,149,194,720
25,167,212,740
28,191,240,860
31,224,278,480
34,254,316,520
37,287,352,600
41,331,402,720
45,371,442,700
50,430,514,820
55,485,582,920
61,543,646,3540
67,627,736,1140
74,717,836,1280
81,810,932,1780
89,920,1070,1640
98,1033,1190,1860
108,1167,1340,2000
119,1298,1488,3480
131,1483,1694,4500
144,1662,1890,3040
158,1882,2154,5740
174,2127,2426,6320
191,2389,2702,7460
210,2669,3028,7880
231,3000,3388,9120
254,3341,3760,5600
279,3758,4244,6160
307,4257,4760,8400
338,4779,5324,6840
372,5366,5974,7440
409,5991,6634,8120
450,6719,7464,9380
495,7482,8266,10580
545,8437,9328,14200
600,9511,10488,13680
660,10608,11692,15260
726,11906,13108,16540
799,13288,14574,19820
879,14831,16268,22100
967,16526,18124,25620
1064,18425,20150,36840
1170,20700,22610,29980
1287,23216,25362,37420
1416,25936,28228,42240
1558,28998,31524,51380
1714,32327,35012,59920
1885,35983,39068,65340
2074,40052,43408,119400
2281,44831,48548,139860
2509,50134,54238,92820
2760,55915,60324,157760
3036,62310,67146,125960
3340,69423,74900,142360
3674,77352,83304,161720
4041,85816,92384,189400
4445,95877,103000,209120
4890,107005,114886,227760
5379,119429,128074,259940
5917,132995,142454,291280
6509,147903,158466,329780
7160,164593,176280,368120
7876,182729,195434,451540
8664,203531,217454,504100
9530,226997,242454,505380
10483,252921,269938,564780
11531,281445,300046,625660
12684,313051,333514,687400
13952,347650,370200,769260
15347,385996,410756,842420
16882,428838,456078,1279620
18570,477896,507922,1039280
20427,532147,565156,1175460
22470,592129,628724,1279320
24717,658112,698114,1428460
27189,730496,774440,1569640
29908,810798,859384,1766040
32899,899010,952288,1955880
36189,1001218,1059926,2202140
39808,1114145,1178852,2398100
43789,1238307,1309122,2662960
48168,1375726,1454062,2924340
52985,1526699,1612296,3509740
58284,1693553,1788118,3618280
64112,1876850,1980822,4223300
70523,2086398,2201054,4879380
77575,2320208,2445816,4949720
85333,2578346,2716346,5458520
93866,2861890,3013920,6159680
