n,comparisons,copies,time_ns
10,34,42,5800
12,50,66,26000
14,65,78,3300
16,74,88,4400
18,93,110,2100
21,115,142,2600
24,140,166,2800
28,185,210,3500
32,215,254,4200
37,258,296,4500
43,335,378,5500
49,390,434,13000
56,475,524,9400
64,532,592,11700
74,667,740,11000
85,780,858,8700
98,936,1018,8800
113,1127,1242,15400
130,1345,1464,19200
150,1628,1762,41200
173,1905,2058,25300
199,2298,2450,31600
229,2758,2946,34200
263,3212,3410,45000
302,3858,4104,35700
347,4561,4820,40500
399,5426,5734,49400
459,6355,6708,76100
528,7536,7942,69400
607,8885,9324,78200
698,10505,11018,152300
803,12426,13034,102700
923,14647,15306,121400
1061,17244,18066,196000
1220,20312,21234,246100
1403,23904,24964,197900
1613,28212,29364,244000
1855,33025,34364,277300
2133,38899,40392,311200
2453,45775,47592,363300
2821,53640,55590,439800
3244,63270,65538,466200
3731,74137,76972,594300
4291,86938,90130,641600
4935,101871,105330,1132900
5675,119604,123612,1361100
6526,140071,144848,963400
7505,164216,169550,1246600
8631,192226,198220,1262100
9926,225063,231962,1657400
11415,263124,271300,1791700
13127,307968,317376,2669800
15096,360734,371646,2715100
17360,421440,433900,2796700
19964,492574,507126,3542100
22959,575760,591506,4444500
26403,672154,690038,7692300
