n,comparisons,copies,time_ns
10,36,44,12300
12,47,58,4300
14,63,76,2800
16,72,86,4300
18,87,96,1900
21,111,126,2100
24,133,150,2600
28,167,186,3300
32,207,234,3700
37,248,280,5500
43,315,346,5200
49,381,424,10800
56,439,482,9500
64,530,582,11500
74,653,718,10900
85,788,868,9400
98,934,1016,8800
113,1130,1228,15200
130,1334,1444,19100
150,1611,1750,37900
173,1905,2050,26000
199,2291,2438,30800
229,2742,2918,60500
263,3259,3480,46100
302,3836,4070,36000
347,4572,4864,41800
399,5376,5682,52500
459,6374,6720,79300
528,7552,7952,70700
607,8950,9430,119600
698,10544,11096,91700
803,12407,13014,105200
923,14665,15310,123000
1061,17318,18154,201200
1220,20428,21370,255100
1403,24003,25066,205000
1613,28203,29374,251700
1855,33310,34680,294100
2133,39130,40750,328400
2453,45953,47738,387200
2821,53856,56010,664200
3244,63365,65816,496800
3731,74370,77236,633100
4291,87288,90572,688400
4935,102285,106034,1251100
5675,119833,124018,1460100
6526,140462,145486,1072300
7505,164676,170338,1364200
8631,192849,199348,1518300
9926,225829,233178,1814000
11415,264264,272984,1926000
13127,309113,318894,2469900
15096,362002,373570,3961100
17360,422765,435848,3207100
19964,494635,509864,3977600
22959,578211,595662,4530500
26403,675047,694626,8711100
