n,comparisons,copies,time_ns
10,40,58,5120
11,45,62,2120
12,56,72,940
13,62,78,1000
14,65,78,1080
15,74,96,1280
17,89,116,2340
19,115,146,2260
21,131,172,660
23,139,164,660
25,158,198,1000
28,187,232,840
31,215,256,3340
34,239,278,540
37,277,326,660
41,310,358,860
45,366,424,1600
50,415,476,900
55,457,542,940
61,539,632,1060
67,618,704,1240
74,687,792,1340
81,781,886,1560
89,882,1006,2020
98,1001,1122,2340
108,1118,1260,2280
119,1262,1438,4400
131,1441,1630,9040
144,1608,1808,3980
158,1834,2058,6160
174,2047,2270,8300
191,2329,2580,7600
210,2617,2906,8560
231,2929,3246,9080
254,3269,3612,6080
279,3677,4062,13360
307,4158,4582,7540
338,4610,5044,8540
372,5224,5702,9260
409,5885,6440,9320
450,6587,7180,14760
495,7325,7994,14380
545,8239,8942,15840
600,9260,10060,17300
660,10366,11238,20420
726,11629,12556,23220
799,12978,14034,23820
879,14489,15634,26240
967,16228,17526,34500
1064,18090,19480,34220
1170,20282,21824,48260
1287,22660,24348,42840
1416,25369,27214,55660
1558,28230,30160,77620
1714,31587,33808,77900
1885,35273,37688,80940
2074,39340,42060,83980
2281,43976,46986,94080
2509,49092,52366,107820
2760,54776,58432,135380
3036,61102,65018,197340
3340,68021,72402,167520
3674,75784,80562,183100
4041,84228,89454,206260
4445,94105,99948,226460
4890,104868,111272,258220
5379,117049,124068,288720
5917,130459,138238,318400
6509,145274,153706,356560
7160,161642,170980,396040
7876,179651,189878,448620
8664,200058,211288,498720
9530,222850,235288,563300
10483,248245,261598,668200
11531,276388,291484,690200
12684,307430,324044,769620
13952,341831,360132,856200
15347,379637,399672,952540
16882,422132,444094,1382240
18570,469898,494108,1178120
20427,523103,549978,1314540
22470,581525,610802,1464140
24717,646735,678848,1623420
27189,718529,753780,1804900
29908,797990,836938,2024940
32899,885781,928992,2247560
36189,985332,1032330,2482500
39808,1095915,1148020,2769100
43789,1217927,1275030,3059540
48168,1352902,1415824,3422220
52985,1502262,1570916,3794560
58284,1667684,1743666,4209440
64112,1850460,1934212,5289380
70523,2055742,2147794,5503780
77575,2284097,2385246,5782100
85333,2537020,2648106,6444540
93866,2817736,2940134,7580060
