n,comparisons,copies,time_ns
10,9,9,500
11,10,10,520
12,11,11,520
13,12,12,560
14,13,13,660
15,14,14,540
17,16,16,120
19,18,18,120
21,20,20,140
23,22,22,160
25,24,24,260
28,27,27,140
31,30,30,140
34,33,33,180
37,36,36,160
41,40,40,240
45,44,44,820
50,49,49,160
55,54,54,200
61,60,60,200
67,66,66,200
74,73,73,200
81,80,80,220
89,88,88,280
98,97,97,240
108,107,107,300
119,118,118,620
131,130,130,660
144,143,143,460
158,157,157,400
174,173,173,660
191,190,190,580
210,209,209,560
231,230,230,700
254,253,253,440
279,278,278,500
307,306,306,540
338,337,337,560
372,371,371,660
409,408,408,720
450,449,449,780
495,494,494,820
545,544,544,920
600,599,599,1000
660,659,659,1080
726,725,725,1220
799,798,798,1360
879,878,878,1500
967,966,966,1620
1064,1063,1063,1760
1170,1169,1169,1920
1287,1286,1286,2160
1416,1415,1415,2320
1558,1557,1557,2580
1714,1713,1713,2800
1885,1884,1884,3120
2074,2073,2073,47600
2281,2280,2280,3720
2509,2508,2508,4580
2760,2759,2759,4520
3036,3035,3035,4960
3340,3339,3339,5440
3674,3673,3673,6000
4041,4040,4040,6560
4445,4444,4444,7240
4890,4889,4889,7960
5379,5378,5378,8720
5917,5916,5916,9640
6509,6508,6508,10580
7160,7159,7159,11940
7876,7875,7875,12780
8664,8663,8663,14160
9530,9529,9529,15880
10483,10482,10482,17060
11531,11530,11530,18860
12684,12683,12683,20800
13952,13951,13951,24100
15347,15346,15346,25020
16882,16881,16881,31140
18570,18569,18569,30880
20427,20426,20426,33320
22470,22469,22469,36600
24717,24716,24716,40220
27189,27188,27188,44940
29908,29907,29907,48800
32899,32898,32898,62280
36189,36188,36188,58920
39808,39807,39807,64760
43789,43788,43788,71520
48168,48167,48167,86020
52985,52984,52984,86420
58284,58283,58283,94820
64112,64111,64111,105320
70523,70522,70522,119400
77575,77574,77574,127600
85333,85332,85332,148620
93866,93865,93865,162700
