n,comparisons,copies,time_ns
10,45,54,1840
11,55,65,2400
12,66,77,2680
13,78,90,3320
14,91,104,3720
15,105,119,3780
17,136,152,380
19,171,189,480
21,210,230,500
23,253,275,680
25,300,324,700
28,378,405,980
31,465,495,1000
34,561,594,1220
37,666,702,1440
41,820,860,1840
45,990,1034,2060
50,1225,1274,2660
55,1485,1539,3240
61,1830,1890,4000
67,2211,2277,4760
74,2701,2774,5760
81,3240,3320,7540
89,3916,4004,8120
98,4753,4850,9840
108,5778,5885,11760
119,7021,7139,24880
131,8515,8645,78220
144,10296,10439,52980
158,12403,12560,11040
174,15051,15224,13500
191,18145,18335,15820
210,21945,22154,19900
231,26565,26795,22580
254,32131,32384,17500
279,38781,39059,20260
307,46971,47277,24380
338,56953,57290,31300
372,69006,69377,36900
409,83436,83844,45060
450,101025,101474,54700
495,122265,122759,61200
545,148240,148784,79640
600,179700,180299,97560
660,217470,218129,116680
726,263175,263900,141160
799,318801,319599,156880
879,385881,386759,232900
967,467061,468027,227400
1064,565516,566579,340280
1170,683865,685034,409240
1287,827541,828827,433960
1416,1001820,1003235,562120
1558,1212903,1214460,646420
1714,1468041,1469754,784180
1885,1775670,1777554,897980
2074,2149701,2151774,1124720
2281,2600340,2602620,1474740
2509,3146286,3148794,1585820
2760,3807420,3810179,2001220
3036,4607130,4610165,2413360
3340,5576130,5579469,2929860
3674,6747301,6750974,3555780
4041,8162820,8166860,4143820
4445,9876790,9881234,5425660
4890,11953605,11958494,6020400
5379,14464131,14469509,6873580
5917,17502486,17508402,8324000
6509,21180286,21186794,11116540
7160,25629220,25636379,13407900
7876,31011750,31019625,16297900
8664,37528116,37536779,19749440
9530,45405685,45415214,23808300
10483,54941403,54951885,30570860
11531,66476215,66487745,33512180
12684,80435586,80448269,42957020
13952,97322176,97336127,49228680
15347,117757531,117772877,62029140
16882,142492521,142509402,88925980
18570,172413165,172431734,94030540
20427,208620951,208641377,107021680
22470,252439215,252461684,127612260
24717,305452686,305477402,153094720
27189,369607266,369634454,186681080
29908,447229278,447259185,241485220
32899,541155651,541188549,271372180
36189,654803766,654839954,328294400
39808,792318528,792358335,396645340
43789,958716366,958760154,485164820
48168,1160054028,1160102195,621064660
52985,1403678620,1403731604,711225640
58284,1698483186,1698541469,861203080
64112,2055142216,2055206327,1029485760
70523,2486711503,2486782025,1280162500
77575,3008901525,3008979099,1526380720
85333,3640817778,3640903110,1847083500
93866,4405366045,4405459910,2284380160
