n,comparisons,copies,time_ns
10,30,32,3700
12,28,28,3200
14,45,47,3300
16,57,59,6600
18,33,35,1700
21,95,95,3500
24,108,108,4300
28,140,140,5600
32,119,121,4700
37,162,164,6100
43,157,157,9900
49,299,299,18100
56,298,298,13300
64,419,421,25600
74,286,286,15900
85,448,448,4000
98,575,577,4500
113,653,653,7500
130,806,806,10900
150,1131,1131,15100
173,1947,1947,27900
199,2780,2780,56700
229,2255,2255,15700
263,2412,2412,18200
302,3438,3438,15600
347,5293,5293,19300
399,4336,4336,20700
459,8447,8447,41400
528,7776,7776,27900
607,9323,9323,33500
698,12871,12873,42200
803,13706,13706,46000
923,19204,19204,59600
1061,22013,22013,143500
1220,30620,30620,183600
1403,36117,36117,133100
1613,47468,47468,204000
1855,45601,45601,171200
2133,64718,64718,221600
2453,82656,82656,263300
2821,96367,96367,325900
3244,111544,111544,390000
3731,146753,146753,419100
4291,179016,179016,495900
4935,244388,244388,737000
5675,294259,294259,898600
6526,332024,332024,997600
7505,424175,424175,1281300
8631,479531,479533,1349600
9926,685197,685197,2225300
11415,745135,745135,2006600
13127,894591,894591,2769000
15096,1124708,1124708,3098600
17360,1583733,1583733,4852800
19964,1970302,1970302,5588000
22959,2192228,2192228,10653200
26403,2788472,2788472,14514900
