n,comparisons,copies,time_ns
10,22,22,880
11,29,29,1240
12,17,19,780
13,24,26,1100
14,27,30,1260
15,47,47,1600
17,35,37,200
19,26,27,160
21,51,51,200
23,82,83,260
25,66,66,260
28,103,105,320
31,87,87,260
34,151,151,380
37,210,210,560
41,215,215,600
45,325,327,760
50,328,328,780
55,355,355,780
61,565,569,1440
67,745,746,1880
74,851,853,2160
81,798,798,2180
89,1285,1285,3020
98,1628,1632,4040
108,1677,1677,4180
119,2168,2170,8360
131,2385,2385,18380
144,3108,3108,16780
158,3346,3346,3480
174,4442,4444,4480
191,5117,5117,5140
210,6255,6255,6300
231,6280,6284,5960
254,9259,9259,5540
279,11746,11746,6620
307,12792,12794,7900
338,14915,14915,8720
372,20925,20928,12120
409,25475,25475,14920
450,27545,27547,15640
495,33612,33615,18440
545,38224,38226,22220
600,48247,48247,26560
660,59059,59061,32880
726,68561,68563,36320
799,88905,88905,46420
879,110306,110306,55440
967,125835,125838,65240
1064,155802,155804,82740
1170,192160,192160,104840
1287,231733,231737,116300
1416,266741,266743,140580
1558,325205,325207,168140
1714,384635,384635,199700
1885,464592,464592,249280
2074,578619,578619,297440
2281,654080,654084,367020
2509,800593,800593,507220
2760,1033877,1033877,574840
3036,1266620,1266620,690480
3340,1444627,1444629,733180
3674,1808281,1808281,940180
4041,2130276,2130278,1032320
4445,2673652,2673654,1289200
4890,3232826,3232826,1658880
5379,3865543,3865545,2305400
5917,4809997,4809997,2533260
6509,5672073,5672075,2723620
7160,6990391,6990391,3735300
7876,8504390,8504390,4703380
8664,10003800,10003802,5255260
9530,12087850,12087850,6386860
10483,14792030,14792033,8142080
11531,17750539,17750539,8960480
12684,21516396,21516396,11306340
13952,26172379,26172379,13124040
15347,31451238,31451238,15825260
16882,38407638,38407638,30622680
18570,46650648,46650648,24508820
20427,55917074,55917076,28859940
22470,67559047,67559049,33935560
24717,82681797,82681799,43716600
27189,98267018,98267020,49343820
29908,118609215,118609219,59840760
32899,144830392,144830394,72589980
36189,175538153,175538153,93046480
39808,210602891,210602893,105466040
43789,257338865,257338867,129796820
48168,308295118,308295120,155745260
52985,374655486,374655486,187705360
58284,452041856,452041858,226841760
64112,547472894,547472894,276529000
70523,659702511,659702511,345299920
77575,805255102,805255102,428684680
85333,977647451,977647451,496087340
93866,1187439319,1187439319,615322740
