n,comparisons,copies,time_ns
10,44,50,5200
12,55,58,5100
14,83,86,5200
16,103,107,8000
18,132,134,5500
21,180,185,6300
24,243,246,8700
28,325,334,11200
32,395,400,13200
37,595,612,20700
43,816,819,45000
49,939,945,54800
56,1319,1321,51900
64,1846,1863,103900
74,2375,2383,109300
85,3254,3265,21100
98,4206,4212,26600
113,5613,5631,49200
130,7601,7603,88100
150,10131,10136,122000
173,13824,13843,194000
199,17958,17967,155800
229,24265,24275,194200
263,32780,32817,103000
302,41548,41565,122600
347,55783,55790,159100
399,73221,73227,202200
459,100331,100366,517700
528,131867,131902,355100
607,175731,175762,472400
698,234956,235000,601800
803,307246,307269,793800
923,410654,410671,1018100
1061,547701,547803,2996400
1220,712842,712880,2120400
1403,951912,951928,2471000
1613,1260243,1260304,3453400
1855,1666399,1666458,4547100
2133,2212496,2212616,6062300
2453,2925127,2925146,7709400
2821,3885109,3885141,12122100
3244,5125422,5125444,13570400
3731,6812215,6812256,17896000
4291,9018685,9018737,26826700
4935,11929846,11929935,31333600
5675,15823334,15823476,46602800
6526,20934865,20934885,57796600
7505,27727480,27727573,74198300
8631,36704796,36704924,95612900
9926,48623029,48623206,129678300
11415,64357157,64357182,168565800
13127,85065237,85065458,247332900
15096,112681593,112681650,303017500
17360,149140101,149140171,439204000
19964,197410240,197410352,572210500
22959,261299158,261299469,949670500
26403,345624284,345624347,1876912200
