n,comparisons,copies,time_ns
10,40,42,1620
11,43,46,1780
12,45,49,1880
13,73,80,3540
14,74,78,3020
15,81,84,2760
17,110,113,320
19,133,135,360
21,154,156,400
23,213,218,540
25,209,210,540
28,315,319,800
31,372,378,1000
34,444,450,1240
37,561,564,1320
41,608,614,1460
45,649,652,1840
50,953,959,2220
55,1189,1195,2820
61,1420,1434,3320
67,1442,1445,3460
74,2102,2108,4780
81,2258,2266,5180
89,2860,2868,6380
98,3570,3574,8040
108,4158,4159,8920
119,5175,5177,18900
131,6653,6659,47260
144,7898,7902,33220
158,8594,8603,7780
174,10358,10364,9160
191,14000,14008,12160
210,15420,15425,13620
231,19590,19594,16680
254,23737,23742,12960
279,29118,29120,15280
307,35113,35123,18320
338,44694,44703,23740
372,51191,51195,27100
409,59564,59571,32620
450,76136,76150,39880
495,91898,91904,46160
545,111319,111328,62500
600,129297,129303,66980
660,159587,159595,82140
726,201473,201489,108540
799,237321,237325,161440
879,278326,278335,137320
967,338213,338227,165400
1064,413980,413987,210560
1170,495266,495275,262440
1287,615036,615051,413440
1416,718351,718358,416820
1558,899123,899129,500920
1714,1068220,1068230,589660
1885,1330724,1330734,760480
2074,1572559,1572567,836120
2281,1878895,1878902,1033920
2509,2287301,2287313,1182080
2760,2833007,2833017,1466140
3036,3339974,3339990,1768800
3340,4094802,4094811,2147680
3674,4925960,4925973,2494300
4041,5950685,5950694,3359100
4445,7221482,7221493,3784420
4890,8752356,8752367,4385460
5379,10690264,10690273,5085460
5917,12878164,12878170,6433900
6509,15562992,15563001,8154560
7160,18699539,18699546,9795580
7876,22752312,22752322,11964500
8664,27674385,27674388,14555780
9530,33394609,33394615,17513180
10483,40141495,40141510,29646020
11531,49010821,49010827,25684520
12684,58524918,58524929,31277940
13952,71193793,71193802,40169820
15347,86370277,86370295,43227960
16882,104649972,104649987,104507560
18570,126937381,126937389,66779820
20427,151878950,151878960,102225240
22470,184966248,184966261,94291620
24717,224701406,224701418,112673580
27189,270062401,270062410,145900440
29908,328168542,328168553,174732640
32899,396911540,396911549,199291460
36189,478679059,478679073,239695960
39808,582564113,582564129,293446520
43789,704139486,704139501,356919520
48168,848780671,848780686,454288680
52985,1030975597,1030975607,523788560
58284,1244611958,1244611964,625852480
64112,1511442721,1511442731,758744960
70523,1820333153,1820333166,953335120
77575,2204016733,2204016744,1124352880
85333,2670224848,2670224861,1354844520
93866,3225035121,3225035134,1704247980
