n,comparisons,copies,time_ns
10,29,30,1580
11,29,31,1300
12,50,53,2000
13,45,47,1880
14,64,66,2760
15,51,52,1920
17,74,78,480
19,98,101,340
21,68,70,260
23,138,142,420
25,165,167,520
28,195,197,540
31,307,310,840
34,383,388,960
37,397,403,1060
41,534,541,1400
45,476,480,1260
50,666,667,1600
55,771,773,1820
61,942,948,2560
67,1142,1146,2960
74,1497,1503,3660
81,1784,1789,4340
89,1975,1977,4760
98,2438,2442,7400
108,3013,3017,6900
119,3440,3445,12460
131,3867,3869,37160
144,5441,5445,27360
158,5826,5830,8520
174,7933,7938,7180
191,9152,9156,8580
210,11121,11126,10100
231,13180,13181,12160
254,16671,16677,9480
279,19509,19515,12180
307,24790,24793,13420
338,30045,30053,16300
372,35529,35534,19820
409,41172,41178,21780
450,51597,51605,27880
495,59481,59487,35700
545,76077,76085,38960
600,90413,90419,48200
660,108518,108524,56980
726,134584,134587,69300
799,160020,160025,80180
879,191282,191289,95800
967,229976,229983,114460
1064,293247,293253,146760
1170,344850,344857,176780
1287,408544,408550,249160
1416,498399,498404,254920
1558,619255,619261,367480
1714,750202,750211,381480
1885,883524,883536,535340
2074,1076465,1076477,563480
2281,1307670,1307671,684020
2509,1576720,1576729,940720
2760,1881774,1881781,1039440
3036,2301653,2301658,1259020
3340,2768451,2768458,1393220
3674,3423728,3423732,1725440
4041,4116190,4116197,2166680
4445,4941708,4941714,2361080
4890,6076952,6076963,3063980
5379,7217365,7217374,4304980
5917,8775957,8775963,4814920
6509,10667601,10667611,5077440
7160,12616673,12616681,6308200
7876,15550063,15550072,8153220
8664,18956649,18956663,10487940
9530,22780576,22780583,11473240
10483,27750915,27750927,14828580
11531,33154758,33154764,20374360
12684,39974599,39974605,21930940
13952,48682528,48682537,26840520
15347,59672891,59672906,33221320
16882,70825136,70825148,37531680
18570,85712999,85713005,44623320
20427,103700697,103700701,52596040
22470,126206593,126206604,64183860
24717,152823215,152823228,76538440
27189,186061208,186061210,94421160
29908,223202671,223202682,118666060
32899,271160858,271160866,136053880
36189,328080038,328080053,164772160
39808,393796398,393796411,198190200
43789,478955527,478955537,240171300
48168,577050220,577050231,308495220
52985,704011871,704011884,353240840
58284,847916776,847916788,427177720
64112,1023898118,1023898121,512244220
70523,1241280010,1241280027,648912180
77575,1506200994,1506201005,764668200
85333,1820181702,1820181713,932699320
93866,2199676940,2199676956,1162187060
