n,comparisons,copies,time_ns
10,19,68,2800
11,22,78,2600
12,24,88,420
13,27,98,420
14,29,108,480
15,31,118,460
17,37,140,500
19,45,164,620
21,52,188,640
23,58,212,4460
25,64,236,1440
28,72,272,840
31,79,308,960
34,91,348,1000
37,105,390,1200
41,121,446,1360
45,136,502,1360
50,153,572,1520
55,170,642,1660
61,187,726,1840
67,211,816,2180
74,247,928,2400
81,278,1040,2660
89,313,1168,32480
98,347,1312,35920
108,388,1472,1780
119,426,1648,3580
131,470,1846,4060
144,544,2080,2820
158,617,2332,5120
174,697,2620,5360
191,766,2926,5720
210,859,3268,6720
231,945,3646,7620
254,1021,4060,4840
279,1183,4556,5080
307,1347,5116,4980
338,1517,5736,5560
372,1684,6416,6180
409,1874,7156,8140
450,2061,7976,7420
495,2254,8876,8260
545,2553,9942,9020
600,2916,11152,10280
660,3276,12472,11500
726,3651,13924,13280
799,4044,15530,13880
879,4477,17290,15320
967,4904,19226,17480
1064,5460,21440,19740
1170,6225,23984,21140
1287,6973,26792,23080
1416,7804,29888,26620
1558,8623,33296,29000
1714,9597,37040,31640
1885,10533,41144,39520
2074,11519,45732,38140
2281,13172,51114,43060
2509,14815,57042,48300
2760,16572,63568,54040
3036,18272,70744,59520
3340,20324,78648,66800
3674,22385,87332,72980
4041,24370,96874,81060
4445,27708,108076,90380
4890,31205,120536,99500
5379,34847,134228,109260
5917,38623,149292,123540
6509,42831,165868,135300
7160,47076,184096,147720
7876,51676,204144,164560
8664,57812,227152,225680
9530,65301,253132,203020
10483,72873,281722,230820
11531,81000,313162,248280
12684,89520,347752,276460
13952,99008,385792,310360
15347,108496,427642,340520
16882,119955,474688,658620
18570,135603,528704,419800
20427,151250,588128,493400
22470,168623,653504,519100
24717,185811,725408,580600
27189,206573,804512,625860
29908,227040,891520,705120
32899,247403,987494,757080
36189,280985,1099354,860980
39808,314432,1222400,947920
43789,350342,1357754,1060360
48168,386428,1506640,1217040
52985,428251,1670418,1296300
58284,471476,1850584,1437020
64112,515680,2048736,1602460
70523,579352,2276684,2922460
77575,649291,2530556,2229440
85333,723282,2809844,2188480
93866,800421,3117032,2495200
