n,comparisons,copies,time_ns
10,15,34,9100
12,20,44,18700
14,25,54,11800
16,32,64,13400
18,35,76,9800
21,42,94,6600
24,52,112,4500
28,64,136,5300
32,80,160,6500
37,90,195,7000
43,108,237,8900
49,130,279,14600
56,156,328,17000
64,192,384,18600
74,217,464,54300
85,255,552,16300
98,309,656,18800
113,371,776,33000
130,451,914,39300
150,515,1094,32400
173,608,1301,18800
199,727,1535,22200
229,868,1805,23100
263,1040,2118,30600
302,1189,2508,24700
347,1394,2958,21000
399,1658,3478,24700
459,1970,4078,45300
528,2352,4784,31400
607,2697,5653,40300
698,3159,6654,39800
803,3739,7809,47400
923,4429,9129,54600
1061,5247,10684,125100
1220,6032,12592,143500
1403,7064,14788,89400
1613,8317,17308,98000
1855,9847,20212,112500
2133,11604,23633,122600
2453,13353,27793,251200
2821,15636,32577,153700
3244,18356,38076,186000
3731,21681,44407,231800
4291,25483,51882,249700
4935,29349,60898,540100
5675,34285,71258,371500
6526,40237,83172,425200
7505,47414,96878,447600
8631,55548,113081,505200
9926,64037,132506,749600
11415,74700,154841,690200
13127,87532,180521,873600
15096,103084,210056,987000
17360,120432,244992,1103100
19964,138964,286656,1412900
22959,161830,334576,1505400
26403,189444,389680,2188200
