n,comparisons,copies,time_ns
10,23,34,17900
12,31,44,84800
14,34,54,9800
16,46,64,12600
18,46,76,7900
21,67,94,6000
24,82,112,4800
28,98,136,6100
32,116,160,6300
37,145,195,7400
43,174,237,8600
49,208,279,15300
56,234,328,15900
64,262,384,20000
74,315,464,28200
85,400,552,17400
98,474,656,19400
113,585,776,35900
130,629,914,39100
150,853,1094,76800
173,995,1301,21500
199,1067,1535,25800
229,1356,1805,24900
263,1508,2118,34800
302,1893,2508,22300
347,2115,2958,26500
399,2632,3478,30700
459,3062,4078,66200
528,3548,4784,39400
607,4254,5653,43500
698,4972,6654,48500
803,5870,7809,59900
923,6944,9129,65300
1061,7953,10684,150400
1220,9364,12592,166800
1403,11075,14788,100300
1613,12711,17308,118300
1855,15437,20212,138900
2133,17543,23633,161700
2453,21343,27793,214400
2821,24657,32577,208200
3244,28243,38076,229100
3731,33472,44407,285200
4291,38010,51882,341800
4935,46415,60898,610100
5675,53560,71258,968100
6526,61849,83172,597800
7505,73746,96878,925300
8631,84779,113081,624500
9926,101478,132506,939900
11415,115977,154841,844300
13127,136205,180521,1118600
15096,158165,210056,1245600
17360,184015,244992,1460300
19964,215113,286656,2101300
22959,253603,334576,2336500
26403,293326,389680,5052100
