n,comparisons,copies,time_ns
10,19,34,9100
12,28,44,18400
14,30,54,12400
16,41,64,11200
18,42,76,8300
21,52,94,5800
24,67,112,4500
28,73,136,8100
32,92,160,6000
37,113,195,7100
43,150,237,7900
49,169,279,14600
56,208,328,15900
64,243,384,20000
74,297,464,39100
85,364,552,29700
98,408,656,18100
113,534,776,33600
130,627,914,39300
150,806,1094,74300
173,851,1301,21000
199,1119,1535,25800
229,1276,1805,24400
263,1558,2118,35000
302,1874,2508,23600
347,2093,2958,27300
399,2616,3478,32200
459,3169,4078,73700
528,3591,4784,41100
607,4170,5653,61200
698,4997,6654,53900
803,6006,7809,63100
923,6979,9129,74400
1061,8214,10684,271100
1220,9962,12592,187500
1403,11624,14788,118400
1613,13498,17308,155800
1855,16058,20212,158300
2133,18660,23633,197600
2453,22211,27793,253800
2821,26175,32577,235800
3244,31080,38076,279000
3731,35857,44407,337600
4291,42278,51882,368200
4935,49909,60898,758500
5675,58810,71258,989800
6526,68792,83172,636500
7505,79608,96878,674200
8631,94198,113081,770400
9926,110381,132506,1109800
11415,130575,154841,1091900
13127,151135,180521,1337400
15096,176021,210056,2175000
17360,206620,244992,1843100
19964,242159,286656,2214400
22959,284536,334576,2829800
26403,330731,389680,6190800
