n,comparisons,copies,time_ns
10,16,34,9500
12,29,44,26300
14,32,54,9300
16,41,64,11000
18,52,76,7800
21,63,94,5300
24,77,112,4700
28,88,136,5400
32,114,160,6500
37,122,195,7100
43,152,237,8200
49,194,279,17000
56,241,328,15700
64,264,384,19500
74,309,464,25100
85,378,552,16400
98,439,656,19600
113,525,776,32900
130,669,914,40800
150,774,1094,50200
173,903,1301,21100
199,1023,1535,25000
229,1319,1805,26700
263,1469,2118,34800
302,1766,2508,22100
347,2128,2958,26600
399,2524,3478,30100
459,2947,4078,49000
528,3469,4784,38200
607,3710,5653,49300
698,4613,6654,49700
803,5574,7809,56700
923,6505,9129,64100
1061,7687,10684,137300
1220,8727,12592,165500
1403,10720,14788,99700
1613,12499,17308,116300
1855,14762,20212,135100
2133,17115,23633,224800
2453,19953,27793,183800
2821,23793,32577,195300
3244,26950,38076,221900
3731,32186,44407,291400
4291,36908,51882,305900
4935,43938,60898,666200
5675,51476,71258,771600
6526,59601,83172,503300
7505,70858,96878,879100
8631,82052,113081,609500
9926,95816,132506,1053200
11415,109839,154841,839900
13127,129714,180521,1183500
15096,153671,210056,1226000
17360,180082,244992,1410700
19964,208620,286656,2668000
22959,242237,334576,1856100
26403,281820,389680,4938100
