n,comparisons,copies,time_ns
10,21,68,2840
11,25,78,2600
12,29,88,500
13,29,98,420
14,39,108,480
15,42,118,580
17,54,140,540
19,55,164,620
21,66,188,660
23,69,212,720
25,82,236,860
28,93,272,920
31,107,308,1180
34,126,348,1300
37,136,390,1260
41,161,446,1400
45,173,502,1580
50,207,572,1760
55,239,642,1860
61,265,726,2160
67,315,816,2580
74,348,928,2880
81,383,1040,3140
89,428,1168,35500
98,471,1312,39980
108,578,1472,2120
119,666,1648,3960
131,737,1846,4200
144,792,2080,2900
158,925,2332,6180
174,1023,2620,5800
191,1160,2926,7400
210,1302,3268,8560
231,1478,3646,9540
254,1644,4060,5660
279,1862,4556,6480
307,2093,5116,6780
338,2314,5736,7480
372,2644,6416,8220
409,2894,7156,9300
450,3324,7976,10540
495,3702,8876,11780
545,4155,9942,12660
600,4629,11152,14200
660,5184,12472,15380
726,5781,13924,17400
799,6542,15530,19800
879,7255,17290,22020
967,8156,19226,23900
1064,9083,21440,27500
1170,10131,23984,29780
1287,11311,26792,34620
1416,12704,29888,45140
1558,14240,33296,44620
1714,15921,37040,49880
1885,17718,41144,54380
2074,19719,45732,62740
2281,22106,51114,68000
2509,24574,57042,81180
2760,27406,63568,86600
3036,30554,70744,99840
3340,33938,78648,124120
3674,38013,87332,140420
4041,42547,96874,141800
4445,47350,108076,164780
4890,52582,120536,179400
5379,58578,134228,218680
5917,65442,149292,233780
6509,72869,165868,268500
7160,80714,184096,295860
7876,90688,204144,343260
8664,100567,227152,382300
9530,111837,253132,425420
10483,124148,281722,480400
11531,138237,313162,525720
12684,154140,347752,600780
13952,171361,385792,660120
15347,190678,427642,737820
16882,212531,474688,1092400
18570,235660,528704,901340
20427,261514,588128,1007280
22470,291509,653504,1129140
24717,324301,725408,1240080
27189,359904,804512,1376440
29908,400331,891520,1520220
32899,445777,987494,1666160
36189,494053,1099354,1857260
39808,549180,1222400,2061460
43789,609176,1357754,2289300
48168,678096,1506640,2543580
52985,752695,1670418,2796440
58284,836584,1850584,3105980
64112,930231,2048736,3733880
70523,1031290,2276684,4069080
77575,1143788,2530556,4274380
85333,1270914,2809844,4713500
93866,1410734,3117032,5300580
