n,comparisons,copies,time_ns
10,22,34,36700
12,32,44,26400
14,38,54,24800
16,47,64,16300
18,55,76,11700
21,65,94,14400
24,78,112,5700
28,103,136,6500
32,120,160,7400
37,147,195,10000
43,178,237,9900
49,221,279,22900
56,260,328,23500
64,302,384,29100
74,376,464,36000
85,445,552,22000
98,522,656,23300
113,635,776,29600
130,750,914,54400
150,893,1094,40800
173,1073,1301,44900
199,1282,1535,61900
229,1518,1805,53600
263,1785,2118,60900
302,2118,2508,45900
347,2497,2958,49900
399,2958,3478,98200
459,3515,4078,138200
528,4105,4784,74800
607,4865,5653,88100
698,5746,6654,99100
803,6729,7809,119200
923,7943,9129,136400
1061,9315,10684,210600
1220,10968,12592,322100
1403,12913,14788,294800
1613,15156,17308,265600
1855,17811,20212,303800
2133,20873,23633,354700
2453,24542,27793,422300
2821,28819,32577,453100
3244,33821,38076,528700
3731,39555,44407,662100
4291,46400,51882,706900
4935,54397,60898,1216200
5675,63738,71258,1125500
6526,74512,83172,1218500
7505,87103,96878,1351600
8631,102063,113081,1569700
9926,119457,132506,2463900
11415,139560,154841,2138900
13127,163227,180521,2657900
15096,190636,210056,3027900
17360,222638,244992,3735600
19964,260473,286656,4492200
22959,304058,334576,5571300
26403,354862,389680,10155100
