n,comparisons,copies,time_ns
10,54,18,12800
12,77,22,7000
14,104,26,7200
16,135,30,11600
18,170,34,7300
21,230,40,2100
24,299,46,2300
28,405,54,3000
32,527,62,3500
37,702,72,4500
43,945,84,5700
49,1224,96,38900
56,1595,110,15700
64,2079,126,19300
74,2774,146,25600
85,3654,168,25400
98,4850,194,33200
113,6440,224,51000
130,8514,258,267400
150,11324,298,231600
173,15050,344,423400
199,19899,396,717500
229,26334,456,945000
263,34715,524,145400
302,45752,602,110600
347,60377,692,230700
399,79799,796,296800
459,105569,916,392300
528,139655,1054,258600
607,184527,1212,365700
698,243950,1394,530200
803,322805,1604,556500
923,426425,1844,744300
1061,563390,2120,956500
1220,744809,2438,2472800
1403,984905,2804,1692900
1613,1301690,3224,2298700
1855,1721439,3708,3126600
2133,2275910,4264,4049300
2453,3009830,4904,5155300
2821,3980430,5640,7171500
3244,5263389,6486,9242700
3731,6962045,7460,12549100
4291,9208485,8580,16429700
4935,12179579,9868,22524500
5675,16105649,11348,38593200
6526,21297600,13050,36816400
7505,28166264,15008,53037700
8631,37251395,17260,65793300
9926,49267700,19850,86199300
11415,65156819,22828,112918800
13127,FAIL,FAIL,FAIL
11643,67785545,23284,112805900
11876,70525625,23750,119515500
12114,73380554,24226,123719200
12356,76341545,24710,130977100
12603,FAIL,FAIL,FAIL
