n,comparisons,copies,time_ns
10,54,18,2900
11,65,20,4500
12,77,22,3700
13,90,24,3500
14,104,26,5100
15,119,28,4800
17,152,32,5200
19,189,36,2600
21,230,40,1500
23,275,44,3000
25,324,48,2700
28,405,54,2400
31,495,60,3300
34,594,66,3000
37,702,72,3400
41,860,80,4600
45,1034,88,6000
50,1274,98,6700
55,1539,108,5200
61,1890,120,5400
67,2277,132,7600
74,2774,146,13900
81,3320,160,11700
89,4004,176,18900
98,4850,194,20800
108,5885,214,30100
119,7139,236,21200
131,8645,260,35800
144,10439,286,224100
158,12560,314,215300
174,15224,346,366300
191,18335,380,170100
210,22154,418,14200
231,26795,460,27500
254,32384,506,44400
279,39059,556,39500
307,47277,612,46100
338,57290,674,55000
372,69377,742,66900
409,83844,816,85400
450,101474,898,105000
495,122759,988,126200
545,148784,1088,151700
600,180299,1198,85800
660,218129,1318,112800
726,263900,1450,224900
799,319599,1596,347100
879,386759,1756,168000
967,468027,1932,274300
1064,566579,2126,543900
1170,685034,2338,375600
1287,828827,2572,398900
1416,1003235,2830,429300
1558,1214460,3114,526600
1714,1469754,3426,623700
1885,1777554,3768,728400
2074,2151774,4146,958400
2281,2602620,4560,1054600
2509,3148794,5016,1289600
2760,3810179,5518,1559400
3036,4610165,6070,2027300
3340,5579469,6678,2473100
3674,6750974,7346,2784900
4041,8166860,8080,3284100
4445,9881234,8888,4034700
4890,11958494,9778,4902700
5379,14469509,10756,5883400
5917,17508402,11832,7641500
6509,21186794,13016,8206300
7160,25636379,14318,14751500
7876,31019625,15750,13116400
8664,37536779,17326,15060200
9530,45415214,19058,18534700
10483,54951885,20964,22623400
11531,66487745,23060,27402300
12684,80448269,25366,33602800
13952,97336127,27902,41241300
15347,117772877,30692,47093900
16882,FAIL,FAIL,FAIL
15654,FAIL,FAIL,FAIL
