n,comparisons,copies,time_ns
10,36,18,6500
12,53,20,5000
14,60,26,5300
16,112,28,9400
18,76,26,4500
21,130,40,1600
24,175,50,2500
28,232,54,2300
32,237,62,2400
37,349,72,3500
43,527,84,4300
49,711,92,8400
56,802,108,9900
64,784,130,9700
74,1493,144,16200
85,1837,164,11700
98,1539,190,10200
113,2738,226,17000
130,4113,264,180100
150,4564,302,119900
173,4656,342,149500
199,6883,404,219300
229,9236,466,325600
263,9605,524,54300
302,16862,618,52300
347,12778,710,71000
399,24333,806,116400
459,22300,940,114800
528,29385,1066,85200
607,38564,1242,114800
698,28907,1426,92700
803,64819,1648,184300
923,78704,1874,193200
1061,99616,2162,248700
1220,108234,2470,469800
1403,134578,2858,401800
1613,236461,3284,626300
1855,231824,3798,580500
2133,210017,4316,568700
2453,388259,4988,984800
2821,818915,5754,1712000
3244,813899,6580,2539100
3731,715229,7614,1634800
4291,750463,8730,1705500
4935,976765,10030,3577000
5675,1861566,11502,5267200
6526,1886983,13246,4024900
7505,1766563,15192,3824900
8631,3824304,17444,8836400
9926,3381965,20146,8238000
11415,7418497,23110,14509200
13127,4192044,26558,12810100
15096,8866167,30524,20028700
17360,6449431,35162,16439300
19964,13373308,40378,35395500
22959,12409647,46404,31148400
26403,13895825,53388,70140500
