n,comparisons,copies,time_ns
10,44,18,2500
11,47,18,2800
12,43,18,9300
13,49,18,2400
14,53,22,2900
15,81,30,4000
17,74,28,3800
19,164,30,1700
21,191,38,1600
23,137,42,2000
25,242,46,2400
28,182,50,2000
31,274,54,2500
34,294,72,2300
37,294,76,2400
41,322,84,3000
45,430,98,3700
50,493,98,4200
55,568,104,3900
61,610,120,2900
67,570,142,4000
74,773,168,6000
81,813,172,4000
89,1117,210,9000
98,1047,216,8600
108,1284,252,9200
119,1241,268,6500
131,2013,296,9100
144,1736,340,47800
158,2658,350,53700
174,2765,428,86000
191,3133,444,19000
210,2682,524,9900
231,2976,564,14000
254,3992,640,15300
279,3800,752,15700
307,4791,814,17100
338,5617,870,18800
372,7033,984,22000
409,9772,1080,25200
450,7984,1260,26400
495,7899,1314,26700
545,13194,1450,33300
600,12072,1646,24300
660,14079,1874,27300
726,15535,2036,40700
799,16856,2240,48200
879,15792,2576,34900
967,18994,2778,45600
1064,26779,3098,66400
1170,27160,3484,49100
1287,26164,3938,54500
1416,32899,4276,59100
1558,31916,4838,60300
1714,44060,5262,74600
1885,44750,5866,77300
2074,52289,6494,84000
2281,46147,7198,88600
2509,58023,7866,97400
2760,102163,8892,127100
3036,66186,9918,125000
3340,67406,10858,146200
3674,101708,12170,180500
4041,94171,13468,186500
4445,105393,15074,205800
4890,126311,16830,221600
5379,123926,18722,239300
5917,140903,20682,280300
6509,169621,22926,257500
7160,186469,25012,328200
7876,208508,28258,349100
8664,233375,31008,372700
9530,295827,34392,445500
10483,275453,37988,486500
11531,319659,42208,524600
12684,410180,46780,608600
13952,414018,51634,663000
15347,448594,57804,659700
16882,495335,64138,777700
18570,578571,70668,821700
20427,562229,78548,976100
22470,736439,86896,1140300
24717,757493,96128,1082500
27189,824584,106420,1330700
29908,870992,118658,1514600
32899,1108533,128956,1522800
36189,1198667,145648,1912800
39808,1225846,160932,1941500
43789,1377625,178288,2875700
48168,1498534,196414,2356600
52985,2091208,218858,2628200
58284,1853363,241496,2758000
64112,2239453,268800,3397600
70523,2605375,295756,4525400
77575,2627104,328330,4245300
85333,3081351,364466,5405200
93866,3777005,404458,5069200
103253,4193264,443316,5860700
113578,4075030,496038,6000700
124936,4583691,547714,7540800
137430,5590620,601488,10466600
