n,comparisons,copies,time_ns
10,53,18,14200
12,58,26,48800
14,62,30,5400
16,105,34,11400
18,92,44,4200
21,132,42,1700
24,139,54,1900
28,197,68,2300
32,255,78,2800
37,420,96,3800
43,339,112,3700
49,388,122,7100
56,608,136,9300
64,1032,158,12200
74,925,186,13100
85,1352,224,10300
98,1517,260,11200
113,2072,284,14300
130,2031,360,100200
150,2605,432,69900
173,4639,486,154500
199,7641,532,235100
229,5061,654,187600
263,11241,808,64200
302,9480,1046,40000
347,8108,1164,42100
399,8309,1124,62800
459,24527,1480,126300
528,30232,1682,97000
607,18868,2112,79900
698,68757,1946,169100
803,34812,2576,117400
923,46204,2966,141000
1061,97840,3540,656300
1220,84463,4302,406200
1403,50070,5278,274800
1613,131419,5998,372800
1855,137033,6354,397200
2133,292688,7106,726300
2453,285431,9050,773100
2821,213384,10428,590700
3244,262127,11962,725400
3731,234259,13778,745800
4291,634106,16014,1439500
4935,836997,17460,3440900
5675,881618,22552,3785900
6526,605715,24846,1678100
7505,1284761,30060,2856300
8631,2017339,33972,4201400
9926,1361608,40090,3325100
11415,2078952,44520,5075900
13127,4759108,51172,10199000
15096,3394437,56186,8095700
17360,3730163,69126,9770100
19964,5019894,85848,12393900
22959,9917293,89482,25807700
26403,8335495,110904,38222700
