n,comparisons,copies,time_ns
10,42,20,3680
11,47,20,1360
12,70,22,400
13,76,24,340
14,66,30,420
15,72,30,300
17,102,34,420
19,116,42,520
21,130,42,660
23,181,46,640
25,150,56,780
28,172,80,760
31,275,76,840
34,226,94,720
37,346,96,1100
41,289,122,1040
45,369,112,1160
50,499,116,1560
55,566,154,1580
61,764,158,2020
67,643,198,1980
74,732,220,2200
81,1019,232,2800
89,1150,246,25140
98,1013,274,23500
108,1352,314,30080
119,1325,388,38580
131,1457,428,3180
144,1551,476,2760
158,1947,528,4320
174,1786,592,4440
191,2412,674,5020
210,2421,748,5520
231,2866,788,5520
254,3985,898,4260
279,3332,1088,4280
307,4296,1186,4980
338,5900,1280,6080
372,5039,1520,6100
409,7279,1614,7600
450,8019,1812,8560
495,6446,1984,7820
545,7745,2194,9640
600,9356,2434,11340
660,10771,2908,12020
726,14135,3086,14440
799,13316,3548,15040
879,13733,3674,16940
967,22692,4512,21880
1064,21155,4878,21920
1170,25662,4964,29240
1287,28538,5852,29140
1416,23232,6768,78480
1558,34349,7338,41720
1714,28947,8284,37600
1885,38355,8562,92900
2074,40911,10670,48080
2281,45915,10516,53880
2509,46551,12636,104420
2760,66673,14234,79220
3036,78223,15852,92200
3340,65681,17908,93320
3674,77037,19748,121000
4041,99909,21556,136360
4445,114784,24076,153600
4890,107549,26772,166220
5379,137947,30472,206000
5917,129841,32386,208120
6509,131487,37478,238320
7160,161837,41274,277100
7876,184114,44590,311680
8664,186385,52548,390500
9530,233793,54248,383660
10483,249066,63452,485640
11531,271765,69246,472880
12684,335109,76466,539880
13952,323232,86038,584120
15347,438564,88286,665680
16882,403493,107364,953140
18570,499510,111416,797500
20427,505374,132900,903300
22470,603524,149070,1201360
24717,837973,140258,1382620
27189,690206,179412,1238220
29908,890111,180092,1349000
32899,883390,212832,1480760
36189,1026686,249746,1698040
39808,1206294,277274,1939500
43789,1116599,302354,2018720
48168,1442034,333350,2331760
52985,1504488,376890,2578560
58284,1712870,413658,2859220
64112,1888940,460188,3165580
70523,2055217,504170,3618940
77575,2311202,569884,3862860
85333,2521452,633154,4287500
93866,2733145,688052,4730740
