n,comparisons,copies,time_ns
10,41,24,48320
11,42,22,5220
12,47,24,3340
13,58,26,420
14,59,30,360
15,78,34,1200
17,88,40,2500
19,93,44,480
21,103,40,460
23,133,50,540
25,145,56,680
28,173,70,700
31,204,80,880
34,285,78,1020
37,300,94,1080
41,273,120,1020
45,357,120,1180
50,421,144,1380
55,439,156,2200
61,507,190,1620
67,538,192,2120
74,620,240,2040
81,860,236,2640
89,769,288,29300
98,934,318,22780
108,1012,362,25740
119,1242,404,29480
131,1246,454,8640
144,1510,526,3300
158,1551,536,4400
174,1886,646,4900
191,2183,718,5460
210,2252,802,6240
231,2852,888,11500
254,3104,964,5060
279,3500,1072,5740
307,3622,1244,6760
338,4347,1370,6020
372,4429,1536,7200
409,5380,1718,7700
450,5799,1970,8300
495,6959,2114,9180
545,7596,2390,10400
600,7847,2706,12460
660,9139,2998,14640
726,10255,3358,14420
799,12255,3612,17840
879,12857,4112,19940
967,14010,4664,19960
1064,16313,5096,23020
1170,18438,5644,25500
1287,20599,6306,29400
1416,23044,7100,31800
1558,26438,7812,35080
1714,28492,8920,40600
1885,32191,9788,45440
2074,37013,10984,52160
2281,41756,12304,65940
2509,45257,13490,68560
2760,49047,14932,79520
3036,58084,16608,93640
3340,64443,18460,97000
3674,69131,20764,134980
4041,76979,22990,150300
4445,85790,25424,159200
4890,94345,28630,192760
5379,111682,31244,207780
5917,112827,35686,251840
6509,132938,39240,265840
7160,148046,43186,297380
7876,159657,48846,339620
8664,180375,53994,420640
9530,210659,59306,412220
10483,227431,65944,510180
11531,248985,74044,525500
12684,289905,81304,647860
13952,315853,91256,681260
15347,364847,100680,714700
16882,382583,112892,788060
18570,425847,124994,875100
20427,476779,139472,984440
22470,514000,154980,1083540
24717,582104,171894,1486600
27189,661478,190842,1426900
29908,774098,205964,1444200
32899,789331,234116,1623960
36189,935325,257904,1821280
39808,1019780,286280,1982040
43789,1119260,320718,2268940
48168,1212514,354544,2467900
52985,1403912,388706,2687620
58284,1602594,432914,3072840
64112,1773887,482490,3393980
70523,1847501,540042,4109940
77575,2093706,593348,4247740
85333,2334347,656372,4533660
93866,2555489,735948,5174840
