n,comparisons,copies,time_ns
10,45,18,1800
11,55,20,1500
12,66,22,2400
13,78,24,2300
14,91,26,2500
15,105,28,2800
17,136,32,4200
19,171,36,7600
21,210,40,5900
23,253,44,8700
25,300,48,9300
28,378,54,9000
31,465,60,15800
34,561,66,10800
37,666,72,12400
41,820,80,21300
45,990,88,20900
50,1225,98,28900
55,1485,108,33500
61,1830,120,40100
67,2211,132,5900
74,2701,146,6300
81,3240,160,6900
89,3916,176,11900
98,4753,194,21300
108,5778,214,24700
119,7021,236,15300
131,8515,260,17300
144,10296,286,38400
158,12403,314,25600
174,15051,346,51400
191,18145,380,102300
210,21945,418,63300
231,26565,460,25600
254,32131,506,30300
279,38781,556,55300
307,46971,612,43400
338,56953,674,52200
372,69006,742,63600
409,83436,816,76900
450,101025,898,90500
495,122265,988,110100
545,148240,1088,133100
600,179700,1198,73200
660,217470,1318,121500
726,263175,1450,189500
799,318801,1596,279500
879,385881,1756,151900
967,467061,1932,182500
1064,565516,2126,221100
1170,683865,2338,293900
1287,827541,2572,439700
1416,1001820,2830,758500
1558,1212903,3114,463300
1714,1468041,3426,562700
1885,1775670,3768,672400
2074,2149701,4146,814700
2281,2600340,4560,989300
2509,3146286,5016,1196400
2760,3807420,5518,1442600
3036,4607130,6070,1734400
3340,5576130,6678,1975900
3674,6747301,7346,2684800
4041,8162820,8080,3126500
4445,9876790,8888,3911200
4890,11953605,9778,4592200
5379,14464131,10756,5457700
5917,17502486,11832,6611800
6509,21180286,13016,7835800
7160,25629220,14318,10473700
7876,31011750,15750,11643800
8664,37528116,17326,13246600
9530,45405685,19058,16965100
10483,54941403,20964,24448600
11531,66476215,23060,26336300
12684,80435586,25366,30540000
13952,97322176,27902,36761400
15347,117757531,30692,44608700
16882,142492521,33762,55102000
18570,172413165,37138,65976800
20427,208620951,40852,86611000
22470,252439215,44938,109008200
24717,305452686,49432,121451400
27189,369607266,54376,151264000
29908,447229278,59814,178922200
32899,541155651,65796,214487800
36189,654803766,72376,261910400
39808,792318528,79614,310440500
43789,958716366,87576,364760100
48168,1160054028,96334,483271100
52985,1403678620,105968,541795100
58284,1698483186,116566,665049500
64112,2055142216,128222,777658900
70523,2486711503,141044,949579700
77575,3008901525,155148,1193125300
85333,3640817778,170664,1409233500
93866,4405366045,187730,1766369400
103253,5330539378,206504,2071916500
113578,6449924253,227154,2575294000
124936,7804439580,249870,3110232900
137430,9443433735,274858,3762481100
