n,comparisons,copies,time_ns
10,45,18,1800
11,55,20,26900
12,66,22,2600
13,78,24,5700
14,91,26,2900
15,105,28,3800
17,136,32,4600
19,171,36,7200
21,210,40,6100
23,253,44,9700
25,300,48,9200
28,378,54,9900
31,465,60,13700
34,561,66,13500
37,666,72,13500
41,820,80,20500
45,990,88,21400
50,1225,98,28200
55,1485,108,35000
61,1830,120,40600
67,2211,132,8700
74,2701,146,6500
81,3240,160,8600
89,3916,176,11100
98,4753,194,21200
108,5778,214,26800
119,7021,236,15500
131,8515,260,22400
144,10296,286,37500
158,12403,314,26800
174,15051,346,49900
191,18145,380,69900
210,21945,418,61800
231,26565,460,32000
254,32131,506,119400
279,38781,556,43200
307,46971,612,52100
338,56953,674,59700
372,69006,742,72100
409,83436,816,120300
450,101025,898,113700
495,122265,988,124200
545,148240,1088,217000
600,179700,1198,90100
660,217470,1318,211300
726,263175,1450,228500
799,318801,1596,313800
879,385881,1756,168900
967,467061,1932,213500
1064,565516,2126,239100
1170,683865,2338,289200
1287,827541,2572,459000
1416,1001820,2830,844100
1558,1212903,3114,511900
1714,1468041,3426,604200
1885,1775670,3768,782100
2074,2149701,4146,872600
2281,2600340,4560,1059100
2509,3146286,5016,1317500
2760,3807420,5518,1593200
3036,4607130,6070,2246400
3340,5576130,6678,2475300
3674,6747301,7346,2776000
4041,8162820,8080,3263500
4445,9876790,8888,4349600
4890,11953605,9778,4993500
5379,14464131,10756,6040800
5917,17502486,11832,7025500
6509,21180286,13016,8056300
7160,25629220,14318,13698900
7876,31011750,15750,15234300
8664,37528116,17326,14965800
9530,45405685,19058,17621100
10483,54941403,20964,20949200
11531,66476215,23060,27449600
12684,80435586,25366,32529500
13952,97322176,27902,37177900
15347,117757531,30692,46765600
16882,142492521,33762,78633000
18570,172413165,37138,65693100
20427,208620951,40852,94305600
22470,252439215,44938,107384500
24717,305452686,49432,125517000
27189,369607266,54376,157245800
29908,447229278,59814,192912200
32899,541155651,65796,238639000
36189,654803766,72376,271691200
39808,792318528,79614,315940200
43789,958716366,87576,376862600
48168,1160054028,96334,526646900
52985,1403678620,105968,553638600
58284,1698483186,116566,709360000
64112,2055142216,128222,824861100
70523,2486711503,141044,994226800
77575,3008901525,155148,1256424100
85333,3640817778,170664,1543739300
93866,4405366045,187730,1791440000
103253,5330539378,206504,2209423800
113578,6449924253,227154,2688533100
124936,7804439580,249870,3276805200
137430,9443433735,274858,3930675400
