n,comparisons,copies,time_ns
10,45,6,2200
12,66,6,5400
14,91,8,7100
16,120,8,8400
18,153,8,4100
21,210,10,5800
24,276,10,7400
28,378,10,9800
32,496,12,12100
37,666,12,16200
43,903,14,37800
49,1176,14,51200
56,1540,14,48500
64,2016,16,54700
74,2701,18,30400
85,3570,16,18500
98,4753,20,32400
113,6328,22,46100
130,8385,18,116900
150,11175,24,106200
173,14878,26,71300
199,19701,28,56000
229,26106,30,114900
263,34453,32,94800
302,45451,34,124500
347,60031,38,157200
399,79401,40,209100
459,105111,42,270900
528,139128,46,432800
607,183921,50,453900
698,243253,52,585900
803,322003,56,787900
923,425503,60,1013500
1061,562330,66,2831100
1220,743590,70,3416800
1403,983503,74,2389900
1613,1300078,80,3252000
1855,1719585,86,4297000
2133,2273778,92,5601400
2453,3007378,100,7070100
2821,3977610,106,9860800
3244,5260146,114,12893400
3731,6958315,122,16621500
4291,9204195,132,21984200
4935,12174645,140,30487300
5675,16099975,150,42233500
6526,21291075,162,50394200
7505,28158760,174,74744200
8631,37242765,186,84350300
9926,49257775,200,112212500
11415,65145405,214,171170500
13127,86152501,230,200689700
15096,113937060,246,308804200
17360,150676120,264,390516500
19964,199270666,282,528418800
22959,263546361,304,939074200
26403,348546003,324,987873900
