n,comparisons,copies,time_ns
10,45,18,1500
11,55,20,2100
12,66,22,2100
13,78,24,3700
14,91,26,2900
15,105,28,3500
17,136,32,4800
19,171,36,7600
21,210,40,6500
23,253,44,25600
25,300,48,8200
28,378,54,8700
31,465,60,13200
34,561,66,13200
37,666,72,12600
41,820,80,21300
45,990,88,24700
50,1225,98,26000
55,1485,108,34800
61,1830,120,38800
67,2211,132,9000
74,2701,146,6400
81,3240,160,7500
89,3916,176,11500
98,4753,194,21000
108,5778,214,26400
119,7021,236,15500
131,8515,260,18400
144,10296,286,40000
158,12403,314,26600
174,15051,346,48400
191,18145,380,73200
210,21945,418,61700
231,26565,460,26900
254,32131,506,33000
279,38781,556,37900
307,46971,612,101200
338,56953,674,54100
372,69006,742,64700
409,83436,816,152900
450,101025,898,96400
495,122265,988,111300
545,148240,1088,135900
600,179700,1198,77400
660,217470,1318,171900
726,263175,1450,209700
799,318801,1596,296400
879,385881,1756,157600
967,467061,1932,205400
1064,565516,2126,227100
1170,683865,2338,285700
1287,827541,2572,346700
1416,1001820,2830,743200
1558,1212903,3114,473600
1714,1468041,3426,583400
1885,1775670,3768,901600
2074,2149701,4146,941700
2281,2600340,4560,1005500
2509,3146286,5016,1225300
2760,3807420,5518,1472800
3036,4607130,6070,1770700
3340,5576130,6678,2155100
3674,6747301,7346,2564300
4041,8162820,8080,3375200
4445,9876790,8888,4571900
4890,11953605,9778,4547100
5379,14464131,10756,5457600
5917,17502486,11832,6773800
6509,21180286,13016,7856100
7160,25629220,14318,10883700
7876,31011750,15750,11776300
8664,37528116,17326,14503100
9530,45405685,19058,15964800
10483,54941403,20964,20754300
11531,66476215,23060,31445800
12684,80435586,25366,31366400
13952,97322176,27902,36653500
15347,117757531,30692,43773500
16882,142492521,33762,69744200
18570,172413165,37138,62682500
20427,208620951,40852,79551600
22470,252439215,44938,99495800
24717,305452686,49432,134172000
27189,369607266,54376,146334000
29908,447229278,59814,171415100
32899,541155651,65796,228597300
36189,654803766,72376,266975900
39808,792318528,79614,298363400
43789,958716366,87576,361989800
48168,1160054028,96334,443001200
52985,1403678620,105968,546951900
58284,1698483186,116566,671577700
64112,2055142216,128222,864311700
70523,2486711503,141044,1033676200
77575,3008901525,155148,1152768700
85333,3640817778,170664,1386271100
93866,4405366045,187730,1786799700
103253,5330539378,206504,2123223500
113578,6449924253,227154,2492137100
124936,7804439580,249870,3110345000
137430,9443433735,274858,3768114400
