n,comparisons,copies,time_ns
10,45,14,2500
12,66,18,6300
14,91,18,7400
16,120,24,9500
18,153,26,4400
21,210,26,6900
24,276,30,7700
28,378,38,10300
32,496,38,13000
37,666,48,18100
43,903,54,42000
49,1176,62,52200
56,1540,68,49900
64,2016,80,55900
74,2701,92,46300
85,3570,102,22200
98,4753,118,29000
113,6328,130,126200
130,8385,148,120900
150,11175,174,128300
173,14878,198,76800
199,19701,226,64400
229,26106,258,131500
263,34453,290,123700
302,45451,336,148300
347,60031,384,205500
399,79401,438,433400
459,105111,500,295700
528,139128,574,393200
607,183921,656,504200
698,243253,750,642400
803,322003,858,822100
923,425503,982,1003100
1061,562330,1126,1537600
1220,743590,1290,1943800
1403,983503,1476,2594600
1613,1300078,1692,3401000
1855,1719585,1940,4923200
2133,2273778,2224,6610300
2453,3007378,2552,7632900
2821,3977610,2926,9806300
3244,5260146,3358,13516300
3731,6958315,3852,17907300
4291,9204195,4422,24075600
4935,12174645,5074,30502900
5675,16099975,5824,39763800
6526,21291075,6688,53944600
7505,28158760,7678,72611600
8631,37242765,8816,96308100
9926,49257775,10126,119282800
11415,65145405,11628,190652700
13127,86152501,13356,226894900
15096,113937060,15342,302676500
17360,150676120,17624,387933400
19964,199270666,20246,578993300
22959,263546361,23262,759726000
26403,348546003,26726,1031461300
