n,comparisons,copies,time_ns
10,45,18,1800
11,55,20,2000
12,66,22,3500
13,78,24,3700
14,91,26,3000
15,105,28,2800
17,136,32,4200
19,171,36,10000
21,210,40,6300
23,253,44,7600
25,300,48,10200
28,378,54,12400
31,465,60,30400
34,561,66,15300
37,666,72,15500
41,820,80,20500
45,990,88,24500
50,1225,98,23600
55,1485,108,36300
61,1830,120,45200
67,2211,132,10000
74,2701,146,8400
81,3240,160,9800
89,3916,176,15200
98,4753,194,25100
108,5778,214,29400
119,7021,236,20000
131,8515,260,22700
144,10296,286,39200
158,12403,314,30600
174,15051,346,51700
191,18145,380,77900
210,21945,418,65600
231,26565,460,36600
254,32131,506,39800
279,38781,556,49100
307,46971,612,58300
338,56953,674,64600
372,69006,742,79200
409,83436,816,95700
450,101025,898,112500
495,122265,988,132600
545,148240,1088,154900
600,179700,1198,112800
660,217470,1318,151600
726,263175,1450,241900
799,318801,1596,311900
879,385881,1756,186600
967,467061,1932,269400
1064,565516,2126,267500
1170,683865,2338,359700
1287,827541,2572,520700
1416,1001820,2830,824300
1558,1212903,3114,595000
1714,1468041,3426,669900
1885,1775670,3768,800000
2074,2149701,4146,929000
2281,2600340,4560,1106600
2509,3146286,5016,1298500
2760,3807420,5518,1645600
3036,4607130,6070,1913100
3340,5576130,6678,2430500
3674,6747301,7346,2714800
4041,8162820,8080,3295300
4445,9876790,8888,3961600
4890,11953605,9778,4799300
5379,14464131,10756,5683700
5917,17502486,11832,7096400
6509,21180286,13016,7758600
7160,25629220,14318,10001400
7876,31011750,15750,11558700
8664,37528116,17326,14250500
9530,45405685,19058,17476400
10483,54941403,20964,22241900
11531,66476215,23060,26044000
12684,80435586,25366,30898400
13952,97322176,27902,36611700
15347,117757531,30692,43628900
16882,142492521,33762,55594200
18570,172413165,37138,65058400
20427,208620951,40852,86878900
22470,252439215,44938,100800000
24717,305452686,49432,129297100
27189,369607266,54376,150184200
29908,447229278,59814,169275900
32899,541155651,65796,219207900
36189,654803766,72376,264330000
39808,792318528,79614,301822900
43789,958716366,87576,358955000
48168,1160054028,96334,436796600
52985,1403678620,105968,557421100
58284,1698483186,116566,639724900
64112,2055142216,128222,801589800
70523,2486711503,141044,957807500
77575,3008901525,155148,1252638700
85333,3640817778,170664,1471683000
93866,4405366045,187730,1680388500
103253,5330539378,206504,2128688900
113578,6449924253,227154,2591976800
124936,7804439580,249870,3123061400
137430,9443433735,274858,3753524200
