n,comparisons,copies,time_ns
10,45,14,7300
12,66,20,6600
14,91,26,81100
16,120,24,9700
18,153,26,5300
21,210,30,6800
24,276,42,8700
28,378,48,11000
32,496,54,14600
37,666,70,20100
43,903,76,41400
49,1176,90,55800
56,1540,100,47300
64,2016,122,91300
74,2701,136,100900
85,3570,156,28900
98,4753,186,30600
113,6328,218,51000
130,8385,244,134300
150,11175,274,190800
173,14878,336,167600
199,19701,392,95700
229,26106,438,292900
263,34453,518,132700
302,45451,588,186900
347,60031,674,226700
399,79401,788,279900
459,105111,906,674200
528,139128,1044,457700
607,183921,1210,644100
698,243253,1386,733400
803,322003,1598,947800
923,425503,1828,1211200
1061,562330,2108,3128700
1220,743590,2426,2087800
1403,983503,2786,2772900
1613,1300078,3208,3989500
1855,1719585,3694,5057200
2133,2273778,4252,10268800
2453,3007378,4892,9990500
2821,3977610,5628,11498800
3244,5260146,6476,14271700
3731,6958315,7446,19045900
4291,9204195,8558,28920100
4935,12174645,9840,34210700
5675,16099975,11324,52198500
6526,21291075,13026,64326600
7505,28158760,14990,88655400
8631,37242765,17238,100464100
9926,49257775,19834,134415100
11415,65145405,22810,203638300
13127,86152501,26224,274629100
15096,113937060,30166,423922900
17360,150676120,34704,691459100
19964,199270666,39910,1156912600
22959,263546361,45906,1828960000
26403,348546003,52784,3295738400
