n,comparisons,copies,time_ns
10,15,15,1800
11,17,17,4300
12,19,19,1300
13,21,21,1600
14,24,24,1600
15,27,27,1600
17,33,33,2300
19,39,39,3100
21,45,45,2000
23,51,51,3700
25,57,57,2800
28,66,66,3600
31,75,75,6300
34,84,84,4000
37,93,93,3400
41,106,106,4400
45,122,122,5400
50,142,142,5500
55,162,162,6500
61,186,186,7200
67,210,210,9500
74,238,238,1000
81,266,266,1200
89,298,298,1300
98,334,334,2300
108,374,374,2900
119,418,418,2100
131,476,476,1700
144,541,541,5100
158,611,611,2100
174,691,691,2600
191,776,776,2700
210,871,871,2900
231,976,976,6200
254,1091,1091,6800
279,1216,1216,7700
307,1356,1356,9300
338,1511,1511,9700
372,1689,1689,11400
409,1911,1911,11600
450,2157,2157,13300
495,2427,2427,7000
545,2727,2727,8000
600,3057,3057,9200
660,3417,3417,6500
726,3813,3813,12500
799,4251,4251,12100
879,4731,4731,8700
967,5259,5259,9800
1064,5841,5841,10600
1170,6554,6554,12200
1287,7373,7373,14100
1416,8276,8276,15000
1558,9270,9270,16600
1714,10362,10362,18500
1885,11559,11559,21100
2074,12882,12882,23400
2281,14331,14331,25100
2509,15927,15927,28700
2760,17684,17684,31900
3036,19616,19616,35400
3340,21804,21804,36600
3674,24476,24476,43900
4041,27412,27412,49600
4445,30644,30644,55300
4890,34204,34204,62200
5379,38116,38116,68900
5917,42420,42420,76500
6509,47156,47156,84100
7160,52364,52364,101500
7876,58092,58092,103200
8664,64396,64396,106700
9530,71324,71324,126700
10483,79590,79590,135600
11531,89022,89022,161200
12684,99399,99399,192600
13952,110811,110811,196700
15347,123366,123366,204300
16882,137181,137181,245400
18570,152373,152373,408700
20427,169086,169086,300600
22470,187473,187473,433000
24717,207696,207696,435600
27189,229944,229944,398200
29908,254799,254799,459000
32899,284709,284709,487000
36189,317609,317609,633000
39808,353799,353799,714300
43789,393609,393609,669300
48168,437399,437399,793200
52985,485569,485569,839000
58284,538559,538559,904600
64112,596839,596839,1032000
70523,660949,660949,1220100
77575,731469,731469,1315200
85333,809049,809049,1444800
93866,899672,899672,1677900
103253,1002929,1002929,1801200
113578,1116504,1116504,1985500
124936,1241442,1241442,2213000
137430,1378876,1378876,2466400
