n,comparisons,copies,time_ns
10,21,28,1280
11,27,36,1700
12,38,49,2240
13,36,45,2160
14,48,55,2600
15,43,50,2060
17,54,61,260
19,55,64,240
21,74,89,320
23,73,90,300
25,106,129,420
28,104,124,400
31,123,142,460
34,141,169,560
37,154,187,540
41,186,218,640
45,192,214,660
50,218,241,700
55,273,295,880
61,284,320,960
67,364,411,1900
74,385,447,2000
81,458,530,1400
89,464,526,1620
98,511,575,1560
108,616,704,1760
119,755,869,3920
131,756,839,3980
144,809,883,2420
158,982,1058,14240
174,1115,1190,1960
191,1167,1287,2220
210,1323,1474,2620
231,1535,1735,2900
254,1720,1922,2280
279,1940,2137,2560
307,2169,2403,2760
338,2402,2682,3000
372,2900,3215,3400
409,3068,3287,3920
450,3365,3584,4320
495,3814,4028,4580
545,3896,4169,5380
600,4898,5351,5900
660,5479,5971,6520
726,7278,7994,7640
799,6443,7028,8100
879,7333,7918,8740
967,9459,10294,10380
1064,9941,10917,10900
1170,10344,11153,11920
1287,10905,11570,13180
1416,14273,14952,15800
1558,13843,14525,15320
1714,16480,17551,18680
1885,17029,18407,19680
2074,20400,22201,22660
2281,23125,24965,25620
2509,27261,29033,29300
2760,26434,28462,29440
3036,34857,37394,35880
3340,34400,37288,37860
3674,39955,41999,42780
4041,42509,44546,46960
4445,47805,49778,51560
4890,50235,52585,56300
5379,59253,63195,63620
5917,64426,68826,69300
6509,75624,81920,78360
7160,81347,86666,87200
7876,86797,92076,94120
8664,108926,116162,114920
9530,114983,123683,125180
10483,122168,129461,134500
11531,134895,140801,143920
12684,150683,156639,158600
13952,165970,172019,174200
15347,200669,210377,208800
16882,215519,227780,229320
18570,256777,273058,262660
20427,280143,297137,291000
22470,295769,311542,320080
24717,313759,331550,343760
27189,355758,378370,377320
29908,431929,458711,441200
32899,459196,478246,473140
36189,500879,519895,516980
39808,557797,575735,587660
43789,603897,624571,637560
48168,697681,732567,725540
52985,743071,782047,1088360
58284,859753,914993,885820
64112,934155,981367,983060
70523,981748,1028470,1101620
77575,1126341,1190410,1183760
85333,1417474,1495975,1427480
93866,1367766,1434227,1487840
