n,comparisons,copies,time_ns
10,27,28,1400
11,23,26,1320
12,24,27,1360
13,28,29,1520
14,37,41,2040
15,58,58,2460
17,43,44,200
19,47,48,240
21,66,66,280
23,69,74,280
25,86,87,360
28,103,106,380
31,110,112,400
34,151,156,560
37,182,189,640
41,153,159,580
45,203,209,660
50,245,257,800
55,268,277,880
61,362,377,1140
67,375,390,1220
74,447,466,1500
81,518,534,1600
89,567,587,1820
98,692,721,2520
108,732,756,2340
119,858,892,4280
131,966,989,5020
144,1088,1126,11940
158,1291,1324,6180
174,1401,1440,3120
191,1639,1691,3540
210,1767,1819,4100
231,2101,2162,4560
254,2349,2425,4500
279,2584,2656,4160
307,3104,3166,4720
338,3489,3555,5120
372,3735,3824,5820
409,4361,4450,6600
450,4748,4845,7520
495,5443,5562,8160
545,6115,6235,9080
600,7166,7285,10220
660,7592,7765,12180
726,8739,8903,13980
799,10649,10850,16260
879,11189,11425,18280
967,12244,12483,18400
1064,13903,14120,21020
1170,15333,15583,25860
1287,17927,18198,27260
1416,19265,19544,32360
1558,22340,22676,37900
1714,25824,26190,40300
1885,28085,28505,58900
2074,31594,32082,54620
2281,36064,36579,58340
2509,39649,40196,70280
2760,49401,50030,85320
3036,51039,51699,99940
3340,59573,60192,113880
3674,66628,67406,142480
4041,71801,72612,148540
4445,82816,83764,185020
4890,92615,93691,213040
5379,104490,105663,234840
5917,113943,115323,268880
6509,127393,129027,302100
7160,145162,146864,342060
7876,167533,169373,384480
8664,194710,196593,431120
9530,201625,203691,476740
10483,223583,225881,579000
11531,265590,267859,596440
12684,296612,299318,661760
13952,311622,314603,726020
15347,379583,382900,828200
16882,412576,416518,924240
18570,451101,455656,1023540
20427,519066,523884,1139280
22470,599253,604477,1290440
24717,651043,656663,1423580
27189,748568,754628,1581320
29908,815382,821817,1768760
32899,908453,915277,1943260
36189,1054192,1061536,2190800
39808,1256892,1264927,2473640
43789,1361534,1370998,2724760
48168,1516729,1527570,3037080
52985,1631447,1643453,3390980
58284,1869444,1883542,3742640
64112,2160716,2175726,4260440
70523,2453337,2469030,4969620
77575,2614826,2632253,5347000
85333,3029627,3048326,5815820
93866,3268664,3288588,6447460
