n,comparisons,copies,time_ns
10,24,30,1400
11,35,41,1880
12,48,53,2380
13,39,47,2180
14,45,49,2240
15,48,53,2300
17,64,72,260
19,72,82,300
21,81,91,320
23,86,101,340
25,100,113,440
28,107,126,380
31,132,149,480
34,179,203,620
37,191,217,740
41,207,226,740
45,228,246,740
50,264,288,1100
55,302,331,1020
61,338,372,1320
67,436,469,1540
74,440,483,2380
81,591,636,1840
89,592,640,1880
98,664,719,2100
108,787,848,2400
119,939,1015,4400
131,941,1013,15820
144,1159,1222,13880
158,1298,1363,15560
174,1547,1620,3560
191,1613,1724,3740
210,1902,2031,4740
231,2110,2266,4980
254,2347,2514,4540
279,2671,2838,4140
307,3098,3285,4780
338,3412,3635,5160
372,3744,3987,5720
409,4246,4458,6560
450,4813,5024,7540
495,5453,5675,7880
545,6342,6611,9120
600,7108,7455,10180
660,8142,8545,60740
726,8858,9405,13740
799,10098,10586,15980
879,11228,11726,17040
967,13496,14100,19200
1064,14580,15273,20740
1170,15970,16590,26880
1287,18336,18922,29300
1416,22321,22975,42860
1558,22239,22988,38880
1714,26991,27907,41240
1885,28711,29847,46500
2074,30846,32214,57340
2281,36967,38417,68420
2509,41551,43016,82540
2760,46601,48272,93400
3036,52763,54631,152220
3340,58126,60200,121200
3674,63939,65762,142220
4041,78407,80332,187200
4445,83216,85317,186260
4890,97513,99924,220620
5379,103868,107069,241380
5917,119609,123226,269920
6509,136857,141459,300980
7160,146354,150681,336840
7876,166284,170783,428480
8664,188813,194237,467160
9530,217396,223596,473820
10483,235020,240844,530580
11531,270501,276071,596380
12684,291869,297729,650740
13952,341820,348258,770640
15347,384016,392393,823680
16882,409041,419043,912860
18570,498235,510669,1034180
20427,540765,553828,1155500
22470,561078,574275,1260140
24717,650482,665148,1417940
27189,739820,756752,1559520
29908,842130,861301,1732260
32899,924343,941212,1931880
36189,1063131,1080582,2160380
39808,1220312,1238715,2423040
43789,1342344,1363756,2717560
48168,1518917,1547162,3030700
52985,1743610,1775758,3399800
58284,1851437,1891888,3690000
64112,2054622,2093495,4157440
70523,2269345,2309589,4893300
77575,2659732,2708167,5153900
85333,3125327,3181152,5870120
93866,3275999,3328789,6386000
