n,comparisons,copies,time_ns
10,27,30,7500
11,28,30,2600
12,38,43,3700
13,40,46,3500
14,44,49,3700
15,49,53,4900
17,62,67,5000
19,69,76,6800
21,77,81,4700
23,91,99,7900
25,143,154,8100
28,124,132,8000
31,140,153,10900
34,175,193,9600
37,198,214,11400
41,244,271,14100
45,229,242,15100
50,304,324,16100
55,330,353,15900
61,369,394,19700
67,467,498,18800
74,501,538,3800
81,553,597,4700
89,632,675,5500
98,742,779,10300
108,778,824,9000
119,863,909,7100
131,1038,1089,7800
144,1143,1207,13000
158,1258,1318,9200
174,1498,1572,14800
191,1685,1772,11600
210,1925,2024,13500
231,2117,2219,44000
254,2508,2617,26000
279,2848,2977,27700
307,3123,3255,199100
338,3579,3731,34600
372,4182,4336,41300
409,4671,4829,44300
450,4963,5143,55300
495,5844,6046,32100
545,6581,6818,37100
600,7056,7329,35200
660,7925,8216,35100
726,9257,9625,51000
799,10988,11352,58300
879,11793,12180,47000
967,15690,16102,56400
1064,14791,15295,58300
1170,17488,17972,71800
1287,19334,19841,93700
1416,21519,22079,79800
1558,24498,25160,92300
1714,27571,28360,100600
1885,30427,31255,110700
2074,33352,34306,124000
2281,38688,39740,140800
2509,44407,45524,156500
2760,48806,50004,173200
3036,54419,55783,194900
3340,62597,64019,199400
3674,72842,74395,244200
4041,77665,79325,271100
4445,88487,90336,299200
4890,94455,96550,339000
5379,108032,110514,372400
5917,127232,129989,434500
6509,139585,142747,478300
7160,157646,160946,549600
7876,172150,175693,593300
8664,197635,201464,664900
9530,222950,227086,749900
10483,243371,247847,768400
11531,283977,288702,947500
12684,311141,316323,1079500
13952,369595,375323,1207100
15347,394506,401376,1888700
16882,451463,459148,1511600
18570,507868,516633,1496900
20427,540223,549887,1750900
22470,637868,648018,2212100
24717,695601,706446,2352900
27189,764946,777094,2328500
29908,918686,931650,2840200
32899,1013487,1027157,3412800
36189,1172853,1187508,3321300
39808,1238689,1254985,4267000
43789,1380292,1398964,4176800
48168,1674230,1695927,4927400
52985,1811392,1836037,5223000
58284,2051197,2079346,5950500
64112,2296094,2325341,7174000
70523,2573901,2605354,7812300
77575,2833004,2867218,8526900
85333,3226333,3263714,9081600
93866,3488131,3527825,10480300
103253,4094704,4137237,12437000
113578,4524775,4571329,12944400
124936,5129329,5181270,14232700
137430,5752706,5813208,16211000
