Algoritmo	Distribuição	n_max	Comparações_min	Comparações_médio	Comparações_max	Cópias_min	Cópias_médio	Cópias_max	Tempo_min_ms	Tempo_médio_ms	Tempo_max_ms
Bubble Sort	Aleatório	93866	45	261679434	4405366045	42	261445921	4399166182	0.000680	252.190617	5461.908760
Bubble Sort	Crescente	93866	45	261679434	4405366045	0	0	0	0.000420	107.886949	1804.894720
Bubble Sort	Decrescente	93866	45	261679434	4405366045	90	523358869	8810732090	0.000700	202.942542	3323.609720
Bubble Sort	Quase crescente	93866	45	261679434	4405366045	16	139997515	2374690908	0.000460	176.330384	3448.592780
Bubble Sort	Quase decrescente	93866	45	261679434	4405366045	66	383614813	6449882538	0.000680	179.054648	3216.063580
Selection Sort	Aleatório	93866	45	261679434	4405366045	18	21284	187730	0.000500	96.047502	1647.938440
Selection Sort	Crescente	93866	45	261679434	4405366045	18	21284	187730	0.000340	95.038836	1645.066000
Selection Sort	Decrescente	93866	45	261679434	4405366045	18	21284	187730	0.000340	101.416067	1752.332320
Selection Sort	Quase crescente	93866	45	261679434	4405366045	18	21284	187730	0.000340	95.201387	1632.442880
Selection Sort	Quase decrescente	93866	45	261679434	4405366045	18	21284	187730	0.000320	96.464640	1647.954720
Insertion Sort	Aleatório	93866	29	130733596	2199676940	30	130733603	2199676956	0.000260	67.250897	1162.187060
Insertion Sort	Crescente	93866	9	10642	93865	9	10642	93865	0.000120	0.018404	0.162700
Insertion Sort	Decrescente	93866	45	261679434	4405366045	54	261690076	4405459910	0.000380	133.975345	2284.380160
Insertion Sort	Quase crescente	93866	17	70009399	1187439319	19	70009400	1187439319	0.000160	36.067756	615.322740
Insertion Sort	Quase decrescente	93866	40	191818041	3225035121	42	191818049	3225035134	0.000320	99.590410	1704.247980
Shell Sort	Aleatório	93866	27	339118	3488131	30	343812	3527825	0.000300	0.682274	6.680640
Shell Sort	Crescente	93866	15	93311	899672	15	93311	899672	0.000200	0.112462	1.085860
Shell Sort	Decrescente	93866	21	147264	1417474	28	154979	1495975	0.000240	0.159217	1.487840
Shell Sort	Quase crescente	93866	23	316379	3268664	26	318739	3288588	0.000200	0.649047	6.447460
Shell Sort	Quase decrescente	93866	24	316957	3275999	30	323186	3328789	0.000260	0.645642	6.386000
Heap Sort	Aleatório	93866	40	289991	2817736	58	303869	2940134	0.000540	0.748489	7.580060
Heap Sort	Crescente	93866	41	299467	2905350	60	319161	3082316	0.000560	0.474294	4.692980
Heap Sort	Decrescente	93866	35	280911	2732205	42	288285	2802538	0.000420	0.481584	4.409880
Heap Sort	Quase crescente	93866	40	294732	2861890	58	311975	3013920	0.000480	0.647812	6.159680
Heap Sort	Quase decrescente	93866	36	285875	2779201	46	296515	2872986	0.000460	0.653634	6.239800
Merge Sort	Aleatório	93866	22	147909	1433857	68	323644	3117032	0.000520	0.814529	9.650260
Merge Sort	Crescente	93866	19	82827	800421	68	323644	3117032	0.000420	0.274881	2.922460
Merge Sort	Decrescente	93866	15	78995	758095	68	323644	3117032	0.000420	0.285238	2.686320
Merge Sort	Quase crescente	93866	24	146572	1423654	68	323644	3117032	0.000380	0.552268	5.225720
Merge Sort	Quase decrescente	93866	21	145384	1410734	68	323644	3117032	0.000420	0.552954	5.300580
Quick Sort	Aleatório	93866	41	267314	2555489	22	76168	735948	0.000360	0.540949	5.174840
Quick Sort	Crescente	15347	54	8700890	117772877	18	4323	30692	0.000340	3.387139	44.273820
Quick Sort	Decrescente	15347	54	8700890	117772877	18	4323	30692	0.000360	3.925667	53.193140
Quick Sort	Quase crescente	93866	43	350274	3777005	18	42666	404458	0.000240	0.398704	3.962160
Quick Sort	Quase decrescente	93866	42	296097	2733145	20	71756	688052	0.000300	0.503779	4.730740
