Estrutura	N máximo	Comp méd	t ms méd	Área t	Alt méd	Alt máx	Overflow	Falha em N
Seq. Aleat.	2901660	120229	8623.421681	174134983844.824768	-	-	NÃO	-
Seq. Ord.	2901660	119791	1694.882936	31878910177.892178	-	-	NÃO	-
Seq. Inv.	2901660	120195	1571.702981	29387846378.945114	-	-	NÃO	-
B. Binária	2901660	11	1.046214	10209888.119255	-	-	NÃO	-
ABB Aleat.	2901660	15	1.038223	9330140.662171	29.02	60	NÃO	-
ABB Ord.	24717	1635	37.448443	3679354.377253	3274.20	24717	SIM	27189
ABB Inv.	20427	1389	57.042563	4392793.500262	2772.49	20427	SIM	22470
AVL Aleat.	2901660	11	0.755959	6635208.384896	14.91	26	NÃO	-
AVL Ord.	2901660	11	0.927826	7818741.606216	12.89	22	NÃO	-
AVL Inv.	2901660	11	0.936647	7927456.666024	12.89	22	NÃO	-
