Algoritmo	Distribuição	n_máximo	Comparações_média	Cópias_média	Tempo_médio_ms	Área_tempo	Overflow	Falha_em_N
Bubble Sort	Aleatório	93866	261679434	261445921	252.190617	138542114.586450	NÃO	-
Bubble Sort	Crescente	93866	261679434	0	107.886949	56814261.336040	NÃO	-
Bubble Sort	Decrescente	93866	261679434	523358869	202.942542	107330647.758180	NÃO	-
Bubble Sort	Quase crescente	93866	261679434	139997515	176.330384	95315746.643590	NÃO	-
Bubble Sort	Quase decrescente	93866	261679434	383614813	179.054648	95419799.332810	NÃO	-
Selection Sort	Aleatório	93866	261679434	21284	96.047502	50490049.602120	NÃO	-
Selection Sort	Crescente	93866	261679434	21284	95.038836	50067190.969630	NÃO	-
Selection Sort	Decrescente	93866	261679434	21284	101.416067	53377059.671350	NÃO	-
Selection Sort	Quase crescente	93866	261679434	21284	95.201387	50167895.844760	NÃO	-
Selection Sort	Quase decrescente	93866	261679434	21284	96.464640	50861230.185600	NÃO	-
Insertion Sort	Aleatório	93866	130733596	130733603	67.250897	35392170.494380	NÃO	-
Insertion Sort	Crescente	93866	10642	10642	0.018404	7424.053800	NÃO	-
Insertion Sort	Decrescente	93866	261679434	261690076	133.975345	70467605.116320	NÃO	-
Insertion Sort	Quase crescente	93866	70009399	70009400	36.067756	18997361.609380	NÃO	-
Insertion Sort	Quase decrescente	93866	191818041	191818049	99.590410	52082375.050360	NÃO	-
Shell Sort	Aleatório	93866	339118	343812	0.682274	299568.577840	NÃO	-
Shell Sort	Crescente	93866	93311	93311	0.112462	48538.550750	NÃO	-
Shell Sort	Decrescente	93866	147264	154979	0.159217	68882.618440	NÃO	-
Shell Sort	Quase crescente	93866	316379	318739	0.649047	287653.735030	NÃO	-
Shell Sort	Quase decrescente	93866	316957	323186	0.645642	284510.311430	NÃO	-
Heap Sort	Aleatório	93866	289991	303869	0.748489	326301.000960	NÃO	-
Heap Sort	Crescente	93866	299467	319161	0.474294	204570.396230	NÃO	-
Heap Sort	Decrescente	93866	280911	288285	0.481584	205745.552090	NÃO	-
Heap Sort	Quase crescente	93866	294732	311975	0.647812	279733.424950	NÃO	-
Heap Sort	Quase decrescente	93866	285875	296515	0.653634	282727.046310	NÃO	-
Merge Sort	Aleatório	93866	147909	323644	0.814529	353774.921090	NÃO	-
Merge Sort	Crescente	93866	82827	323644	0.274881	119699.375170	NÃO	-
Merge Sort	Decrescente	93866	78995	323644	0.285238	122391.748600	NÃO	-
Merge Sort	Quase crescente	93866	146572	323644	0.552268	238711.841980	NÃO	-
Merge Sort	Quase decrescente	93866	145384	323644	0.552954	239426.205160	NÃO	-
Quick Sort	Aleatório	93866	267314	76168	0.540949	233592.378250	NÃO	-
Quick Sort	Crescente	15347	8700890	4323	3.387139	236295.784340	SIM	16882
Quick Sort	Decrescente	15347	8700890	4323	3.925667	270578.756710	SIM	16882
Quick Sort	Quase crescente	93866	350274	42666	0.398704	172313.466130	NÃO	-
Quick Sort	Quase decrescente	93866	296097	71756	0.503779	216357.013740	NÃO	-
